word1,word2,falseness
alde,al,0.34857202
ébano,ébène,0.0087170005
abnegación,abnégation,0.007973015
ausente,absent,0.022567987
ajenjo,absinthe,0.099804014
abundar,abondant,0.10979399
académico,académique,0.015466988
acomodar,accommoder,0.069637954
agrio,acre,0.28060502
adagio,adage,0.26922902
ayudante,adjudant,0.19791502
adolescente,adolescent,0.0073599815
afectación,affectation,0.36041802
afectivo,affectif,0.008679032
alba,aube,0.30017698
albor,aubour,0.281465
alimento,aliment,0.03275299
alopecia,alopécie,0.030488014
alveolo,alvéole,0.08041501
amargo,amer,0.14761999
ambiente,ambiant,0.17399299
ambiguo,ambigu,0.093501985
amputar,amputer,0.0010150075
año,ain,0.43852997
anguila,anguille,0.106554
anomalía,anomalie,0.02907902
antecedente,antécédent,0.032101005
anterior,antérieur,0.13330603
antiguo,antique,0.21122801
anticuario,antichar,0.62715596
antipatía,antipathie,0.06497097
antípoda,antipode,0.071312994
anual,annuel,0.076382995
aperitivo,apéritif,0.020425975
abertura,aperture,0.243563
aplicar,applique,0.15335304
apócope,apocope,0.05394399
apóstata,apostat,0.06308699
aposición,apposition,0.100296974
aposición,apposition,0.100296974
apreciar,apprécier,0.09433597
apropiado,approprier,0.41775998
alambre,airain,0.27366897
arborescente,arborescent,0.07081699
argumento,argument,0.019340992
archivo,archive,0.339196
arquivoltas,archivolte,0.015106022
era,air,0.52965397
erizo,hérisson,0.058967024
armadura,armature,0.281862
armadura,armature,0.281862
artificio,artifice,0.026543021
artritis,arthrite,0.013424993
as,as,0.10875699
ascendente,ascendant,0.10681504
asesor,assesseur,0.10500699
asiduidad,assiduité,0.102816045
aspirar,aspirer,0.020383
áspero,âpre,0.09827599
astrágalo,astragale,0.06908703
astrología,astrologue,0.146173
astronomía,astronome,0.23875797
atrio,atrium,0.06557
atroz,atroce,0.00622797
atrofia,atrophie,0.0014210343
aura,aura,0.189796
austral,austral,0.04088205
autora,auteur,0.16084701
avaricia,avarice,0.04082799
ávido,avide,0.093741
aborto,avorta,0.37229803
bacante,bacchante,0.00959897
baba,baba,0.0015669763
bálsamo,baumier,0.13494
barba,barbe,0.11323899
bebedor,boire,0.12886804
bíceps,biceps,0.06099999
bienal,biennal,0.09918702
betún,bitume,0.08243805
bisonte,bison,0.02422303
buey,boeuf,0.17619398
boreal,boréal,0.09675601
bovino,bovin,0.104601026
braquial,brachial,0.056281984
brutal,brutal,0.07084298
buho,bouffe,0.21157598
bueno,bon,0.024730027
caer,change,0.435835
caballo,carrousel,0.386057
pisar,calque,0.30438098
calendario,frimas,0.500939
calumnia,calomnier,0.020331979
calloso,calleux,0.084273994
calvicie,calvitie,0.021996021
camisa,chemise,0.0038129687
camisa,chemise,0.0038129687
camello,chameau,0.015698016
cánula,canule,0.042457998
cabeza,cap,0.46140903
capa,cape,0.46742898
capital,capital,0.16324797
cabra,chamois,0.274693
acarrear,char,0.43243402
acarrear,charrier,0.42080998
quilate,carat,0.12941399
carbonero,charbonnier,0.00029200315
carbon,charbon,0.079585016
cardinal,cardinal,0.033635974
cual,quel,0.21857202
caries,carie,0.16708302
caridad,charitable,0.13662702
carnal,charnelle,0.050727963
carnestolendas,chair,0.293393
carpe,charme,0.13888001
libro,carte,0.49075997
casar,caisse,0.6767
casto,chaste,0.082964
castellano,châtelain,0.47700602
causar,cause,0.30206203
causar,causer,0.20792001
cavernoso,caverneux,0.018718004
casual,casuel,0.384949
querer,cire,0.512467
cillero,cellier,0.105654985
celeridad,célérité,0.010304034
celeste,céleste,0.031576008
censo,cens,0.40712303
centurión,centurion,0.01905799
ceniza,cendre,0.0031680465
cepo,cep,0.328279
ciervo,cerf,0.105528
cereal,céréale,0.020941019
cervical,cervical,0.014603972
ciudad,cité,0.26278397
cesura,césure,0.0074009895
llave,clef,0.053295016
llamar,clamer,0.32673803
cuajo,cail,0.35908002
cena,cine,0.48291302
cereza,cerise,0.021739006
cerezo,cerise,0.16036603
cisalpino,cisalpin,0.010326982
citado,citer,0.22850102
civil,civil,0.07140404
civilidad,civilité,0.0047920346
clemente,clément,0.15113899
clemencia,clémence,0.059443027
clerical,clérical,0.0013020039
acá,cuire,0.392442
cuerda,corde,0.005101979
cornudo,cor,0.255706
