word1,word2,falseness
alde,avere,0.43543798
abadesa,abbadessa,0.17184901
ajenjo,assenzio,0.071061015
absurdo,assurdo,0.013435006
acacia,acacia,0.03822297
aquel,quello,0.20202997
acomodar,accomodare,0.106474996
agrio,acro,0.22448301
águila,aquila,0.027148008
adverbial,avverbiale,0.01482904
agrícola,agricola,0.026560009
ajo,aglio,0.07969004
alba,alveo,0.251802
aleatorio,aleatorio,0.038923025
alga,alga,0.06450999
alimento,alimento,0.004679978
alveolo,alveolo,0.012133002
amargo,amarezza,0.14117402
ambiguo,ambiguo,0.01235497
ancla,ancora,0.26188397
animar,animare,0.021537006
antecedente,antecedente,0.035460025
anterior,anteriore,0.32853702
antipatía,antipatia,0.02055198
apariencia,apparenza,0.110385954
aperitivo,aperitivo,0.04325497
abertura,apertura,0.112995
apócope,apocope,0.024015963
apóstata,apostata,0.027490973
aposición,apposizione,0.06492698
aposición,apposizione,0.06492698
apreciar,apprezzare,0.10583699
aprender,apprendere,0.09252298
ara,arare,0.342565
alambre,rame,0.169734
ártico,artico,0.021014988
ardor,ardere,0.250814
ardor,ardore,0.09067598
areola,areola,0.004317999
argumento,argomento,0.096636
archivo,archivio,0.394511
arquivoltas,archivolto,0.065822005
era,aja,0.639671
erizo,riccio,0.063825965
arenoso,rena,0.461223
armadura,arma,0.31212202
armónico,armonico,0.021744967
artificio,artificio,0.02790302
artritis,artrite,0.009030044
as,asso,0.191091
así,cosí,0.300984
asesor,assessore,0.241135
asiduidad,assiduità,0.031525016
áspero,aspro,0.053425014
astrágalo,astragalo,0.014123976
atal,tale,0.299667
átomo,atomo,0.0013079643
atrio,atrio,0.023846984
atroz,atroce,0.043817043
atrofia,atrofia,0.0018540025
oir,udire,0.0029360056
austral,australe,0.074247
autora,autore,0.23287302
aventura,aventura,0.26942202
ávido,avido,0.19522399
bacante,baccante,0.021778047
bacilo,bacillo,0.047497988
crío,ital,0.400069
baba,balla,0.38967496
balneario,balneare,0.035647035
bálsamo,balsamo,0.18451598
barba,barba,0.011399984
bárbaro,barbaro,0.14115402
bebedor,bere,0.12693903
bien,bene,0.05633205
buey,bove,0.217565
boreal,boreale,0.033575
bovino,bovino,0.10541904
braquial,brachiale,0.0118659735
bruto,bruto,0.158521
buho,buffo,0.16494498
busto,busto,0.030156016
caballo,cavallino,0.379889
cuadrilátero,quadrilatero,0.02385503
pisar,calco,0.335517
calloso,calloso,0.028653026
alcanfor,canfora,0.14773896
campaña,campana,0.49715802
cantabile,muz,0.50426596
cánula,cannula,0.020233035
cabeza,capo,0.263813
capa,cappa,0.28035203
capilar,capillare,0.096252024
cabra,capra,0.08948201
acarrear,calare,0.31722602
acarrear,calare,0.31722602
quilate,carato,0.068581015
carbonero,carbonaio,0.051632017
carbon,carbone,0.20628199
cardinal,cardinale,0.14956698
caries,carie,0.019236982
carnestolendas,carne,0.21572399
carpe,carpino,0.08391002
libro,carta,0.595443
casto,casto,0.01117003
castellano,castellano,0.291093
categoría,categoria,0.052154005
cateto,cateto,0.025952041
católico,cattolico,0.01019001
caudal,caudale,0.18320704
causar,causa,0.287562
casual,casuale,0.058866978
querer,cera,0.45336902
censo,censo,0.28301197
centauro,centaurus,0.11924499
cielo,cerro,0.45713198
ciervo,cervo,0.005897999
cereal,cereale,0.12483901
querer,chiedere,0.17144302
llave,chiave,0.07563999
cuajo,caglio,0.131327
cicerone,cicerone,0.049026012
quinquenal,quinquennale,0.047978997
cuando,cuando,0.58421
ceñir,cingere,0.059057027
cíngulo,cingolo,0.11954501
citado,citare,0.30429798
civilidad,civiltà,0.065593004
clavícula,clavicola,0.008198023
clínico,clinica,0.09301096
cornudo,corno,0.243074
cuesta,costa,0.17001301
code,gomito,0.367029
cofia,cuffia,0.12334299
colega,collega,0.08760899
columna,colonna,0.11500502
coloquio,colloquio,0.13865998
calostro,colostro,0.00940901
columna,colonna,0.11500502
cometer,comite,0.688083
comparación,comparazione,0.013771951
compilar,compilare,0.061158
compota,composta,0.505956
compuesto,composito,0.30513698
cono,con,0.43377402
conceder,congedo,0.494877
conciliador,conciliatore,0.07061297
concomitante,concomitante,0.036800027
concomitante,concomitante,0.036800027
concordato,concordare,0.24961999
confección,confezione,0.055810988
confección,confezione,0.055810988
conjuntivo,congiuntivo,0.25057098
coyuntura,congiuntura,0.0103010535
consolar,consolare,0.257034
consonancia,consonanza,0.015797973
constancia,costanza,0.24613598
consternación,costernazione,0.029402971
cónsul,consul,0.245491
contemporáneo,contemporáneo,0.14634997
contiguo,contiguo,0.09200299
continuar,continue,0.51131296
convección,convezione,0.030929029
conveniente,conveniente,0.09517795
convertir,convertire,0.012708962
cuervo,corbo,0.32594103
corredor,corridore,0.021130025
cornudo,cornuto,0.018453985
corona,incoronare,0.34364697
corroborar,corroborare,0.08116299
corola,corolla,0.021412015
cortina,cortina,0.08632299
corrupto,corrompere,0.204404
cósmico,cosmico,0.0029780269
carpa,carpa,0.078388005
craso,crasi,0.47685105
creer,credenza,0.284052
crema,crema,0.003911972
crudo,crudo,0.07629901
cubital,cubitale,0.076406
coger,cogliere,0.15613401
colmo,colmo,0.19902697
culminará,culminare,0.13062
culo,correre,0.275631
curial,curiale,0.017080009
cúspide,cuspide,0.13201597
daño,danno,0.06559199
década,decade,0.322026
decano,decano,0.06344801
decenal,decennale,0.13460597
dedicación,dedicazione,0.06064701
deductivo,deduttivo,0.0043799877
defecto,difetto,0.032962978
deficiente,deficiente,0.115630984
deísmo,deismo,0.0052660108
deliberativo,deliberativo,0.004774034
delicioso,delizioso,0.010017991
delirio,delirio,0.020219028
demente,demente,0.054328978
dimisión,dimissione,0.019903958
demoler,demolire,0.019396007
demostrativo,dimostrativo,0.015370011
dentición,dentizione,0.043089986
apartar,dipartimento,0.537971
deponer,deporre,0.11309904
derogar,derogare,0.10320395
descender,discendere,0.12410802
deshacer,disfare,0.148592
destructor,distruttore,0.09886098
detrimento,detrimento,0.15999103
diástole,diastole,0.012136042
diatriba,diatriba,0.07909602
dictar,dettare,0.06650299
diezmo,decima,0.3349
diente,dente,0.0037290454
discernir,discernere,0.0023229718
disciplina,disciplinare,0.21483901
discreto,discreto,0.03508097
discusión,discussione,0.094042
disensión,dissenso,0.036289036
disimular,dissimulare,0.04593295
diurético,diuretico,0.01722598
diverso,diverso,0.15750703
divertículo,diverticolo,0.021593988
dividendo,dividendo,0.15117103
disolver,dissolvere,0.09215397
dux,doge,0.095418006
don,donno,0.17840001
doña,donare,0.387995
dorso,dosso,0.47471398
dragon,draco,0.365153
drupa,drupa,0.0083630085
dúctil,duttile,0.021611035
dolce,dolce,0.098535985
dúo,duo,0.0036709905
él,el,0.57847
equino,equino,0.04005003
equívoco,equivoco,0.024366975
ecuador,equatore,0.29702997
editor,editore,0.036918998
igual,uguale,0.029380023
égloga,egloga,0.015322983
elaborar,elaborare,0.015914023
electivo,elettivo,0.00046402216
elegía,elegia,0.068057
hélice,elice,0.38016102
élite,elite,0.239072
emanación,emanazione,0.037606
emanación,emanazione,0.037606
emersión,emersione,0.03676498
enumerar,enumerare,0.07420796
epiléptico,epilettico,0.0062000155
epíteto,epiteto,0.031006992
hereditario,ereditario,0.034973025
estro,estro,0.047133982
evaporar,evaporare,0.014524996
evidencia,evidenza,0.11063099
evocar,evocare,0.047327995
exedra,esedra,0.033106983
exhaustivo,esaustivo,0.07879603
exordio,esordio,0.40530398
exportar,esportazione,0.06693399
exuberancia,esuberanza,0.036375046
fag,faggeto,0.27659902
harina,farina,0.061643958
falso,falso,0.010205984
fanático,fanatico,0.00094503164
fascículo,fascicolo,0.046103
fécula,fecola,0.04682702
felino,felino,0.02641797
hierro,fero,0.56481695
fiesta,festino,0.26506698
faz,faccia,0.12305501
fétido,fetido,0.05296099
fetiche,feticcio,0.005448997
hiel,fiele,0.03500101
finito,finire,0.49239102
hilo,filo,0.093192995
fiscal,fiscale,0.031066954
llama,fiaccola,0.435149
flagrante,flagrante,0.18000701
fluctuar,fluttuare,0.055665016
hoja,foglia,0.008284986
hambre,fame,0.050541997
foramen,forame,0.014210999
formato,formato,0.079490006
fósil,fossile,0.0032989979
fracción,frazione,0.11392701
fraga,fraga,0.06954798
franja,frangia,0.17508799
fresno,frassineto,0.21778
hermano,fra,0.60921603
fregar,fregare,0.174436
freno,freno,0.026645958
frontispicio,frontespizio,0.04062301
huir,foga,0.533177
humo,fumo,0.013145983
ahondar,affondare,0.32847697
hongo,fungo,0.040273964
horca,forca,0.17892802
huso,fuso,0.060387015
gallina,gallina,0.022891998
gemelo,gemino,0.447802
generalidad,generalità,0.13988897
genio,genio,0.0038449764
genciana,genziana,0.009085953
hinojo,ginocchio,0.44332102
gesto,gesta,0.47954002
lande,ghianda,0.420987
gimnástico,ginnastica,0.029314995
yerno,genero,0.0026910305
glabro,glabro,0.09407699
glóbulo,globulo,0.021970034
glosario,glossario,0.0017980337
gluten,glutine,0.007592976
gradación,gradazione,0.119432986
graso,grasso,0.14425802
grueso,grosso,0.087696016
grúa,grue,0.41078198
gota,gota,0.288975
jacinto,giacinto,0.15618902
hidráulico,idraulico,0.029475987
llevar,levare,0.274543
idilio,idillio,0.002287984
idioma,idioma,0.071927965
hiedra,edera,0.043330967
yo,io,0.009145021
ilícito,illecito,0.024384975
imaginario,immaginare,0.23124796
embocar,imboccare,0.12249401
inmóvil,immobile,0.060876966
inmovilidad,immobilità,0.021384
importar,importazione,0.151119
impostura,impostura,0.005253017
impuesto,imposta,0.11446804
impresión,impressione,0.022619963
impresión,impressione,0.022619963
