word1,word2,falseness
alde,a,0.29355597
ábaco,abac,0.113756984
ébano,abanos,0.043796003
abadesa,abatesă,0.026313007
abdicar,abdica,0.044270992
ablativo,ablativ,0.054553002
ablución,abluțiune,0.036889017
abnegación,abnegație,0.032180965
ausente,absent,0.013635993
ausencia,absență,0.052878976
ajenjo,absint,0.106179
absorber,absorbi,0.03212303
abstracción,abstracție,0.07158196
absurdo,absurd,0.010702014
abuso,abuz,0.028872967
academia,academie,0.07719898
académico,academic,0.07767701
acelerar,accelera,0.045881987
aceleración,accelerație,0.0028409958
aceptar,accepta,0.061381996
ácido,acid,0.0153999925
acomodar,acomoda,0.03259802
acumular,acumula,0.016591012
acuario,acvariu,0.028320014
águila,acvilă,0.09434798
adherirse,adera,0.07178998
adyacente,adiacent,0.06078598
adjetivo,adjectiv,0.03113103
ayudante,adjutant,0.120817006
administración,administrație,0.0069319606
administrador,administrator,0.008864045
admirar,admira,0.03369099
admitir,admite,0.050558984
admisión,admisiune,0.038057983
adolescente,adolescent,0.0002490282
adopción,adopție,0.14397001
adoptivo,adoptiv,0.004000008
aducir,aduce,0.271406
adverbio,adverb,0.011102021
adverbial,adverbial,0.042287946
adversario,adversar,0.04612899
adversidad,adversitate,0.08448595
afectar,afecta,0.080392
afluente,afluent,0.024657011
ágil,agil,0.03435698
agitación,agitație,0.015576005
agonía,agonie,0.05374998
agresión,agresiune,0.0016490221
agresor,agresor,0.007898033
agrícola,agricol,0.03968203
ajo,avea,0.37484497
ayudar,ajuta,0.057111025
albedo,albedo,0.010277033
álbum,album,0.057615995
aleatorio,aleatoriu,0.019888043
alegoría,alegorie,0.050382018
alga,algă,0.09286302
álgebra,algebră,0.023670018
alimento,aliment,0.055417
alpino,alpin,0.0023850203
otro,alt,0.031183988
altar,altar,0.005515039
alterar,altera,0.18624699
alteridad,alteritate,0.05947101
otro,altul,0.0018039942
amargo,amar,0.032810986
ambiente,ambiant,0.08247
ambición,ambiție,0.042367995
amenazar,amenința,0.013220012
anfiteatro,amfiteatru,0.051251948
ánfora,amforă,0.043605983
amigo,amic,0.30411202
amor,amor,0.18238503
amuleto,amuletă,0.007743001
año,an,0.14094898
anáfora,anaforă,0.049220026
análogo,analog,0.035164
analogía,analogie,0.016852975
ancla,ancoră,0.007514
anguila,anghilă,0.119405
animar,anima,0.232584
animosidad,animozitate,0.016646028
aniversario,aniversar,0.043899
antecedente,antecedent,0.12532401
anterior,anterior,0.11608699
antiguo,antic,0.09633398
anticuario,anticar,0.150325
anticipación,anticipație,0.16313702
antídoto,antidot,0.0037350059
antimonio,antimoniu,0.076997995
antipatía,antipatie,0.050283015
rabia,antirabic,0.18135497
apariencia,aparență,0.09155899
apatía,apatie,0.141924
acueducto,apeduct,0.018828034
apéndice,apendice,0.0016179979
apendicular,apendicular,0.010793984
aperitivo,aperitiv,0.063514054
abertura,apertură,0.18720898
apetito,apetit,0.052581966
aplaudir,aplauda,0.048238993
aplicación,aplicație,0.016788006
apoplejía,apoplexie,0.048910975
apostasía,apostazie,0.028708994
apoteosis,apoteoză,0.04781598
aposición,apoziție,0.001660049
apreciar,aprecia,0.18566
aprender,aprinde,0.455377
ara,ara,0.07478401
alambre,aramă,0.23401797
arbitrar,arbitra,0.02917999
arbitrario,arbitrar,0.021221995
árbitro,arbitru,0.018154025
árbol,arbure,0.19656497
arco,arc,0.068192005
ártico,arctic,0.013132036
ardor,ardere,0.288668
ardor,ardoare,0.18812501
arcilloso,argilos,0.008221984
argumento,argument,0.022351027
argumentación,argumentație,0.0016250014
arquitectura,arhitectură,0.045264006
archivo,arhivă,0.379808
era,arie,0.350842
erizo,arici,0.10990301
armadura,armă,0.119999975
armadura,armătură,0.15458798
arsénico,arsenic,0.11629397
arteria,arteră,0.043190002
artículo,articol,0.049302995
artificial,artificial,0.024782002
artritis,artrită,0.025861979
as,as,0.117460996
así,așa,0.13240102
ascendente,ascendent,0.009419978
asesor,asesor,0.33873603
asiduidad,asiduitate,0.090094
aspirar,aspira,0.0074229836
áspero,aspru,0.09290603
astral,astral,0.05685401
astronomía,astronomă,0.163472
atal,atare,0.339903
ateo,ateu,0.02500695
atenuar,atenuat,0.11342698
átomo,atom,0.054930985
atributo,atribut,0.003112018
atrio,atriu,0.18551603
atroz,atroce,0.07431796
atrofia,atrofie,0.08499396
aura,aură,0.086546004
aurífero,aurifer,0.035764992
austero,auster,0.08538398
austeridad,austeritate,0.008669019
austral,austral,0.052214026
autora,autoare,0.04288596
ávido,avid,0.127388
aborto,avort,0.017830968
axila,axilă,0.033104956
axioma,axiomă,0.019855976
crío,băiat,0.095364004
baba,bale,0.237068
bálsamo,balsam,0.09362799
barbarie,barbarie,0.021440983
vejiga,bășică,0.192482
batir,bată,0.09425497
batalla,bătaie,0.49248
bebedor,bea,0.15674198
belicoso,belicos,0.066167
beligerante,beligerant,0.029056966
beneficiario,beneficiar,0.093793035
bíceps,biceps,0.144405
bienal,bienal,0.022365034
bilingüe,bilingv,0.0067700148
bien,bine,0.01639998
betún,bitum,0.048793018
buey,bou,0.07183701
bórax,borax,0.08566302
boreal,boreal,0.030590028
bovino,bovin,0.069067955
braquial,brahial,0.096870005
brazo,braț,0.017992973
boca,bucă,0.262182
buho,buf,0.203617
bueno,bun,0.15379903
bondad,bunătate,0.0149149895
ombligo,buric,0.14323401
brújula,busolă,0.007342994
caer,cad,0.17093596
cuadrilátero,cadrilater,0.30887002
caballo,cal,0.006823957
caballero,călare,0.30930802
pisar,călca,0.015500009
caldera,căldare,0.07320601
calendario,calendar,0.11573899
calloso,calos,0.13309497
alcanfor,camfor,0.14697799
candidato,candidat,0.011295974
gangrena,cangrenă,0.111543
cantabile,cantabile,0.085988015
cabeza,cap,0.107759
capa,capă,0.32658103
capilar,capilar,0.022318006
capital,capital,0.13546503
cabra,capră,0.006027013
acarrear,car,0.45159099
acarrear,cărare,0.32386696
quilate,carat,0.09801
carbon,cărbune,0.14247501
cual,carea,0.30048704
carnal,carnal,0.092242
carnestolendas,carne,0.075118005
carnívoro,carnivor,0.044395983
carpe,carpen,0.13158801
libro,carte,0.04086101
casar,casă,0.363005
casto,cast,0.30622402
castellano,castelan,0.311163
castor,castor,0.043347
catarro,catar,0.18186396
categoría,categorie,0.054444015
cadena,catenă,0.133665
causar,cauză,0.246223
causal,cauzal,0.017778039
causar,cauza,0.23126799
caverna,cavernă,0.029686987
cavernoso,cavernos,0.086602986
cavidad,cavitate,0.029911041
querer,ceară,0.31752202
