word1,word2,falseness
al,alde,0.451424
abaque,ábaco,0.058494985
ébène,ébano,0.037209988
absinthe,ajenjo,0.08911201
abondant,abundar,0.22049502
accommoder,acomodar,0.047930002
acre,agrio,0.389847
adage,adagio,0.169745
adjudant,ayudante,0.14725697
affectation,afectación,0.24904901
aube,alba,0.29479402
aubour,albor,0.35403502
aléatoire,aleatorio,0.059876025
alopécie,alopecia,0.020641029
autre,otro,0.044812024
autre,otro,0.044812024
alvéole,alveolo,0.05441302
ambiant,ambiente,0.132864
ambigu,ambiguo,0.0062209964
amplificateur,amplificador,0.003314972
amputer,amputar,0.026466966
ain,año,0.35417598
ancre,ancla,0.08109
anguille,anguila,0.09977004
antécédent,antecedente,0.12820399
antérieur,anterior,0.117006004
antique,antiguo,0.19021499
antichar,anticuario,0.708407
antiquité,antigüedad,0.031067967
antinomie,antinomia,0.01373297
antipode,antípoda,0.04880002
aperture,abertura,0.106702
applique,aplicar,0.092067
apostat,apóstata,0.022919
apostolique,apostólico,0.00019001961
apposition,aposición,0.07052797
apposition,aposición,0.07052797
apprécier,apreciar,0.07875097
approprier,apropiado,0.39260998
airain,alambre,0.141316
arborescent,arborescente,0.0002849698
ardeur,ardor,0.06352401
aréole,areola,0.032314956
argileux,arcilloso,0.011002004
argument,argumento,0.04147601
archive,archivo,0.138392
air,era,0.45681
hérisson,erizo,0.03893599
aride,árido,0.0012270212
armature,armadura,0.181613
armature,armadura,0.181613
artifice,artificio,0.104491055
arthrite,artritis,0.034282982
as,as,0.14776
ainsi,así,0.07385403
assesseur,asesor,0.120576024
assiduité,asiduidad,0.04529202
aspirer,aspirar,0.08462399
âpre,áspero,0.043027997
astragale,astrágalo,0.007022977
astrologue,astrología,0.09366602
astronome,astronomía,0.26962
atrium,atrio,0.00091797113
atroce,atroz,0.02513796
atrophie,atrofia,0.019702017
aura,aura,0.35290402
aurifère,aurífero,0.0057400465
auteur,autora,0.18669897
avide,ávido,0.030783951
avorta,aborto,0.17511699
bacchante,bacante,0.031012952
baba,baba,0.0005079806
balnéaire,balneario,0.03152603
baumier,bálsamo,0.21054599
barbe,barba,0.019156009
boire,bebedor,0.27179003
belligérant,beligerante,0.035908997
bien,bien,0.016052008
bitume,betún,0.039431036
boeuf,buey,0.15136
brachial,braquial,0.063465
bras,brazo,0.019159973
bouche,boca,0.06691897
bucolique,bucólico,0.022531986
bouffe,buho,0.313385
bon,bueno,0.07619703
change,caer,0.46768403
quadrilatère,cuadrilátero,0.054059982
carrousel,caballo,0.19395098
calque,pisar,0.30879
frimas,calendario,0.17762598
calomnier,calumnia,0.10156298
calleux,calloso,0.034962
chemise,camisa,0.022261977
chemise,camisa,0.022261977
canule,cánula,0.001061976
cap,cabeza,0.28389198
cape,capa,0.23425299
capital,capital,0.16955003
chamois,cabra,0.20149803
char,acarrear,0.34578103
charrier,acarrear,0.28782302
carat,quilate,0.030217022
charbonnier,carbonero,0.030975997
