word1,word2,falseness
al,avere,0.400644
abbesse,abbadessa,0.17343503
ablation,ablazione,0.031405985
absinthe,assenzio,0.036804974
abondant,abbondare,0.194457
acacia,acacia,0.08228499
accommoder,accomodare,0.056704998
acre,acro,0.16092402
agricole,agricola,0.03413397
ail,aglio,0.032249987
aube,alveo,0.270182
aléatoire,aleatorio,0.06626201
algue,alga,0.122343004
aloès,aloe,0.120018005
alvéole,alveolo,0.021652997
amer,amarezza,0.084318995
ambiant,ambiente,0.113021016
amphore,anfora,0.013987958
ain,anno,0.274605
ancre,ancora,0.40804398
anguille,anguilla,0.12788701
animosité,animosità,0.009819031
anomalie,anomalia,0.0036990047
antécédent,antecedente,0.17054698
antérieur,anteriore,0.017426014
antique,antico,0.06099397
antichar,antiquario,0.638474
antinomie,antinomia,0.015191972
apparence,apparenza,0.07392198
apéritif,aperitivo,0.036588967
aperture,apertura,0.11254799
applique,applicare,0.14118898
apocope,apocope,0.014032006
apprendre,apprendere,0.07516599
ara,arare,0.2871
airain,rame,0.116080016
arborescent,arborescente,0.016680002
arctique,artico,0.013924956
ardeur,ardore,0.091933966
aréole,areola,0.012695968
argileux,argilloso,0.029510021
argument,argomento,0.076648
archivolte,archivolto,0.08305395
air,aja,0.42328602
hérisson,riccio,0.11646101
armature,arma,0.296196
armature,armatura,0.108622015
harmonique,armonico,0.025636971
as,asso,0.232069
ainsi,cosí,0.455418
assesseur,assessore,0.075592995
âne,asina,0.17098701
aspirer,aspirare,0.000895977
asthme,asma,0.0071179867
asthmatique,asmatico,0.032203972
astrologue,astrologia,0.113950014
astronome,astronomia,0.21297503
astronomique,astronomico,0.028850019
aura,aura,0.391596
auriculaire,auricolare,0.024024963
austral,australe,0.06295696
aventure,aventura,0.22821102
avorta,aborto,0.20180699
bacchante,baccante,0.093373984
bacille,bacillo,0.008284032
baba,balla,0.336985
baumier,balsamo,0.321512
barbe,barba,0.034152
barbare,barbaro,0.083798975
bigame,bigamo,0.013608992
bien,bene,0.13766599
boeuf,bove,0.23038602
boréal,boreale,0.026271999
bovin,bovino,0.06329501
brachial,brachiale,0.012768984
brutal,brutale,0.019786
bouffe,buffo,0.057543993
bon,buono,0.060580015
buste,busto,0.013507962
carrousel,cavallo,0.249529
calque,calco,0.12639502
frimas,calendario,0.19098301
calomnier,calunnia,0.09674603
calleux,calloso,0.027580023
camphre,canfora,0.114806
cantabile,muz,0.490973
cantilène,cantilena,0.0057340264
canule,cannula,0.0019179583
cap,capo,0.151761
cape,cappa,0.14723998
achever,capitare,0.38231602
capillaire,capillare,0.09822798
capital,capitale,0.20709398
chamois,capra,0.252894
char,calare,0.38965598
