word1,word2,falseness
al,a,0.499285
abaque,ábaco,0.010791957
ébène,ébano,0.069961995
acacia,acácia,0.030102015
académique,acadêmico,0.046392977
accommoder,acomodar,0.061628968
acre,agro,0.34698302
action,ação,0.0048890114
aquatique,aquático,0.048192024
adage,adágio,0.107925
adjudant,ajudante,0.09961897
adverbe,advérbio,0.009446979
affectation,afetação,0.15079
aubour,alvor,0.38550103
aléatoire,aleatório,0.021098971
aloès,aloés,0.05613798
alopécie,alopecia,0.13337797
altérer,alterar,0.003027022
alvéole,alvéolo,0.051732004
ambiant,ambiente,0.11550501
ambidextre,ambidestro,0.0021950006
ambigu,ambíguo,0.028950006
ain,anno,0.450849
anaphore,anáfora,0.012126029
ancre,âncora,0.054874986
anguille,enguia,0.041888
anomalie,anomalia,0.031769037
antécédent,antecedente,0.13380197
antérieur,anterior,0.07343802
antique,antigo,0.213307
antichar,antiquário,0.588227
anticipation,antecipação,0.013514996
anticipation,antecipação,0.013514996
antinomie,antinomia,0.09482002
apathie,apatia,0.025426984
aqueduc,aqueduto,0.0048809648
apéritif,aperitivo,0.047141016
aperture,abertura,0.185283
applique,aplicar,0.13735598
apocope,apócope,0.056230992
apologue,apólogo,0.11452997
apologétique,apologética,0.0043979883
apostasie,apostasia,0.09932196
apostrophe,apóstrofo,0.101431966
apostrophe,apóstrofo,0.101431966
apposition,aposição,0.113489985
apposition,aposição,0.113489985
approprier,apropriaram,0.17797798
ara,arar,0.19847499
airain,arame,0.16221002
arbitraire,arbitrário,0.02182597
arbre,arvore,0.091196
arbre,arvore,0.091196
ardeur,ardor,0.055400014
aréole,aréola,0.04440099
argileux,argiloso,0.011874974
argument,argumento,0.028073967
archivolte,arquivoltas,0.02818197
air,aira,0.27840903
hérisson,ouriço,0.027572006
aride,árido,0.04847604
armature,arma,0.30503398
armature,armadura,0.16943899
arsenic,arsênico,0.015142024
arthrite,artrite,0.017143011
as,ás,0.14029999
ainsi,assim,0.04613298
assesseur,assessor,0.058914006
