word1,word2,falseness
al,a,0.4651
abaque,abac,0.16248003
ébène,abanos,0.100678
abdiquer,abdica,0.0025379658
aberration,aberație,0.013255954
ablatif,ablativ,0.013013005
ablution,abluțiune,0.032662034
absence,absență,0.108101994
absinthe,absint,0.080394
absorber,absorbi,0.012207031
abstraction,abstracție,0.038477957
abus,abuz,0.0015669465
académie,academie,0.10388899
accélérer,accelera,0.063608944
accepter,accepta,0.047458947
acide,acid,0.032031
accommoder,acomoda,0.123411
acre,acru,0.204496
accumuler,acumula,0.059544027
accusatif,acuzativ,0.0022789836
aigle,acvilă,0.110407025
adhésion,adeziune,0.06857097
adjectif,adjectiv,0.009012997
adjudant,adjutant,0.02672702
admettre,admite,0.060467005
admission,admisiune,0.023929983
adoption,adopție,0.172486
adverbe,adverb,0.012799978
adversaire,adversar,0.048368037
adversité,adversitate,0.03723198
air,aer,0.0032170415
affecter,afecta,0.09075302
affluent,afluent,0.008063018
aphorisme,aforism,0.028786957
agile,agil,0.06313798
agonie,agonie,0.027648985
ail,avea,0.38599598
aider,ajuta,0.10018796
albédo,albedo,0.012403965
album,album,0.005797982
aléatoire,aleatoriu,0.030979991
allier,alege,0.31858698
allégorie,alegorie,0.02631098
algue,algă,0.07302502
aloès,aloe,0.16869602
alpin,alpin,0.022291958
autre,alt,0.028409004
autel,altar,0.022083998
altérer,altera,0.18222496
autre,altul,0.051645994
amer,amar,0.035561025
ambiant,ambiant,0.056591034
ambition,ambiție,0.033550978
menacer,amenința,0.007515013
amphithéâtre,amfiteatru,0.07188097
amphore,amforă,0.021606982
ami,amic,0.29410598
amour,amor,0.23387903
amplificateur,amplificator,0.010969996
amulette,amulet,0.01589799
ain,an,0.276467
anaphore,anaforă,0.018005967
analogue,analog,0.10989103
anguille,anghilă,0.126376
animosité,animozitate,0.042894006
anniversaire,aniversar,0.036044
antécédent,antecedent,0.012486994
antérieur,anterior,0.20454603
antique,antic,0.032700956
antichar,anticar,0.257515
anticipation,anticipație,0.0033920407
antidote,antidot,0.021017969
antimoine,antimoniu,0.016918957
antipathie,antipatie,0.005602002
annuel,anuală,0.07869303
apparence,aparență,0.070921004
apathie,apatie,0.100490004
aqueduc,apeduct,0.023099959
appendice,apendice,0.0069299936
apéritif,aperitiv,0.09237099
aperture,apertură,0.051447004
appétit,apetit,0.02830702
applaudir,aplauda,0.036312044
application,aplicație,0.010267019
apostat,apostat,0.027149975
apostolique,apostolic,0.013407052
apostrophe,apostrof,0.24243599
apothéose,apoteoză,0.016173005
apposition,apoziție,0.219574
apprécier,aprecia,0.038924992
apprendre,aprinde,0.43816403
ara,ara,0.071381
airain,aramă,0.09543198
arbitrer,arbitra,0.008170009
arbitraire,arbitrar,0.008520961
arbre,arbore,0.033984005
arbre,arbure,0.19301799
arc,arc,0.045703024
arctique,arctic,0.014079988
ardeur,ardoare,0.13624701
argileux,argilos,0.04012698
argument,argument,0.005129993
architecte,arhitect,0.010558009
architecture,arhitectură,0.06709403
archive,arhivă,0.10761601
air,arie,0.461973
aride,arid,0.048358977
armature,armă,0.25893104
arrogant,arogant,0.0036189556
arsenic,arsenic,0.11847499
artère,arteră,0.024712026
article,articol,0.018945038
artifice,artificiu,0.081808984
arthrite,artrită,0.0049539804
as,as,0.11534801
ainsi,așa,0.293458
ascendant,ascendent,0.050143003
assesseur,asesor,0.030511975
assiduité,asiduitate,0.032119036
âne,asin,0.348145
aspirer,aspira,0.027467966
âpre,aspru,0.07010999
astral,astral,0.04805699
astronome,astronomă,0.121699035
athée,ateu,0.026149988
atténuer,atenuat,0.12202197
atome,atom,0.03770399
attribut,atribut,0.021014035
atrium,atriu,0.08053699
atrophie,atrofie,0.05324298
aura,aură,0.24604501
aurifère,aurifer,0.045171976
austérité,austeritate,0.0029200315
austral,austral,0.014355004
auteur,autoare,0.17937797
autographe,autograf,0.025044024
avide,avid,0.151524
avorta,avort,0.083493024
baba,bale,0.308516
balnéaire,balnear,0.02048397
baumier,balsam,0.29865798
barbe,barbă,0.017003
vessie,bășică,0.161398
bataille,bătaie,0.44939998
boire,bea,0.016635
belliqueux,belicos,0.160317
belligérant,beligerant,0.012252986
bénéficiaire,beneficiar,0.09665197
biceps,biceps,0.005122006
biennal,bienal,0.014127016
bilingue,bilingv,0.00094795227
bien,bine,0.049053967
bitume,bitum,0.11503899
bitumineux,bituminos,0.0018079877
bison,bizon,0.10262698
boeuf,bou,0.156912
borax,borax,0.071774006
boréal,boreal,0.024623007
bovin,bovin,0.09203398
brachial,brahial,0.064707994
bouche,bucă,0.274742
bouffe,buf,0.21193701
bon,bun,0.04306802
nombril,buric,0.042226017
boussole,busolă,0.009270012
change,cad,0.33973798
change,cadă,0.409746
quadrilatère,cadrilater,0.371042
carrousel,cal,0.151981
chevalier,călare,0.36474702
calque,călca,0.329635
chaud,cald,0.04246503
frimas,calendar,0.162256
calomnier,calomnia,0.110183
calleux,calos,0.199312
camphre,camfor,0.17137402
champ,câmp,0.006268978
canonique,canonic,0.004105985
cantabile,cantabile,0.07255602
cap,cap,0.20794898
cape,capă,0.211165
achever,capete,0.35518
capillaire,capilar,0.023213983
capital,capital,0.0073319674
chamois,capră,0.17987102
chevrier,căprar,0.34265903
capsule,capsulă,0.01246798
char,car,0.14222899
charrier,cărare,0.27758402
carat,carat,0.061719
cardinal,cardinal,0.031545997
quel,carea,0.308106
charitable,caritate,0.03320104
charnelle,carnal,0.07368001
chair,carne,0.048272997
charme,carpen,0.37036997
carte,carte,0.24236101
caisse,casă,0.22265601
chaste,cast,0.16756701
châtelain,castelan,0.08119297
chasteté,castitate,0.0147330165
castor,castor,0.013992012
castrer,castra,0.22374001
catégorie,categorie,0.07227498
chaîne,catenă,0.24855202
catholique,catolic,0.0083729625
cause,cauză,0.030224025
causal,cauzal,0.00042802095
causer,cauza,0.182769
caverne,cavernă,0.08864099
caverneux,cavernos,0.082726
cire,ceară,0.11253399
céleste,celest,0.06420702
célibat,celibat,0.04470998
cénotaphe,cenotaf,0.08109403
centaure,centaur,0.016835034
centre,centru,0.023739994
centurion,centurion,0.013460994
cep,cep,0.17251301
ciel,cere,0.407045
cerf,cerb,0.081360996
cerceau,cercel,0.088135004
céréale,cereală,0.028393984
cérémonie,ceremonie,0.014809966
certifier,certifica,0.010424972
cité,cetate,0.033885002
césure,cezură,0.05634603
clef,chel,0.19422999
clamer,chema,0.15399402
chirurgie,chirurgie,0.00025898218
cycle,ciclu,0.04540801
cimetière,cimitir,0.030883014
quand,cînd,0.13905302
cine,cine,0.364627
cynisme,cinism,0.028218985
cirque,circ,0.028685987
circonstance,circumstanță,0.03772399
cerise,cireașă,0.10193199
cerise,cireș,0.16263297
citrine,citrin,0.00094002485
civil,civil,0.049017966
clandestin,clandestin,0.0040769577
classique,clasic,0.017610967
clavicule,claviculă,0.08921
clémence,clemență,0.079346
clérical,clerical,0.033644974
clientèle,clientelă,0.0038399696
climat,climă,0.021546006
clinique,clinic,0.07635903
cloaque,cloacă,0.12337297
cuire,coacă,0.073659
cor,corn,0.10672298
coudre,coasă,0.19204402
côte,coastă,0.08131695
mitt,cot,0.39127302
cohérence,coerență,0.037
coiffe,coif,0.160108
collapse,colaps,0.20042601
collègue,coleg,0.013306022
choline,colină,0.38105398
colonne,coloană,0.032350004
colloque,colocviu,0.06638801
colon,colon,0.04810801
colori,color,0.19370499
colonne,columnă,0.13980201
combiner,combina,0.03047502
comestible,comestibil,0.042855024
comète,cometă,0.03076899
comique,comic,0.068786025
comité,comite,0.36216202
comité,comitet,0.01591301
compassion,compasiune,0.01987797
compendium,compendiu,0.06132102
compenser,compensa,0.024658978
compensation,compensație,0.036165953
compiler,compila,0.045302987
compliquer,complica,0.017403007
compote,compot,0.13388401
composite,compozit,0.07587701
compression,compresiune,0.037972987
comprimer,comprima,0.023012996
composer,compune,0.07804197
communication,comunicație,0.05387199
communicatif,comunicativ,0.103612006
communauté,comunitate,0.019524038
communion,comuniune,0.009958029
commutation,comutație,0.0053260326
co,con,0.373438
concession,concede,0.23839301
concevoir,concepe,0.036204994
concept,concept,0.013015032
conception,concepție,0.005071044
concession,concesie,0.06933004
conclure,conchide,0.213593
conciliateur,conciliator,0.064356
conclave,conclav,0.03184098
conclusion,concluzie,0.028244019
concomitant,concomitent,0.05008799
concordat,concordat,0.18851802
concubin,concubină,0.028916001
condamner,condamna,0.03116399
conducteur,conductor,0.02335602
confession,confesiune,0.0018289685
confesseur,confesor,0.09375101
configurer,configura,0.01561904
confirmer,confirma,0.0006700158
confisquer,confisca,0.013598025
conflagration,conflagrație,0.050826967
confluence,confluență,0.052682042
confondre,confunda,0.042260975
congrégation,congregație,0.034019053
congruence,congruență,0.050009966
conjecture,conjectură,0.11382502
conjugal,conjugal,0.045186013
conjonction,conjuncție,0.0106729865
conjonctif,conjunctiv,0.023168981
conjoncture,conjunctură,0.13428098
consacrer,consacra,0.08513799
considérer,considera,0.12058598
consistoire,consistoriu,0.07941604
console,consolă,0.026471972
conspirer,conspira,0.08846998
constant,constant,0.012665987
constance,constanță,0.23232698
constellation,constelație,0.04004103
constitution,constituție,0.0009239912
construction,construcție,0.139022
consulat,consulat,0.010897994
consulte,consult,0.11193797
consommer,consuma,0.022689998
contenir,conține,0.08985603
continent,continent,0.05223596
contingence,contingență,0.16717798
continu,continua,0.344203
continuité,continuitate,0.022683978
contracter,contract,0.24659398
contradictoire,contradictoriu,0.017746031
contraire,contrar,0.100790024
contredire,contrazice,0.010698974
contumace,contumacie,0.060892045
convalescence,convalescență,0.009911001
convenant,convenient,0.12054503
convent,convent,0.047233015
convention,convenție,0.03293401
converger,converge,0.037229
convergent,convergent,0.05456099
conversion,conversiune,0.13489202
convertir,converti,0.0011160374
convexité,convexitate,0.03457904
coopérer,coopera,0.12620398
caravelle,corabie,0.16680902
corbeau,corb,0.11430201
correction,corecție,0.10681701
corridor,coridor,0.022006989
cornu,cornut,0.161039
couronne,coroană,0.022561967
corollaire,corolar,0.10688701
corporal,corp,0.18083102
courtine,cortină,0.261601
corrompre,corupt,0.08873001
corvette,corvetă,0.01789701
cosmique,cosmic,0.12307602
crever,crăpa,0.222893
crasse,crasă,0.041170985
crête,creastă,0.03286296
création,creație,0.20119098
créateur,creator,0.046819985
croire,crede,0.025574982
cerveau,creier,0.008138001
crème,cremă,0.015574992
crépuscule,crepuscul,0.0641
cristallin,cristalin,0.02381599
crise,criză,0.012486994
crocodile,crocodil,0.0127030015
croiseur,cruce,0.41391802
cru,crud,0.102286994
quaternaire,cuaternar,0.007604003
cube,cub,0.08661902
coucou,cuc,0.18977399
cine,cui,0.40859702
culm,culme,0.308565
culminer,culmina,0.03310898
culture,cultură,0.025384009
comme,cum,0.25524998
