word1,word2,falseness
avere,alde,0.612844
assenzio,ajenjo,0.031991005
quello,aquel,0.121888995
accomodare,acomodar,0.02876103
acro,agrio,0.17133701
aquila,águila,0.071437
aderire,adherirse,0.011016011
addurre,aducir,0.065690994
avversario,adversario,0.03307998
affettivo,afectivo,0.0034430027
aglio,ajo,0.08088702
alveo,alba,0.525958
aleatorio,aleatorio,0.039321005
alimento,alimento,0.0029389858
alveolo,alveolo,0.025734961
amarezza,amargo,0.175821
ambiguo,ambiguo,0.034708977
amputare,amputar,0.0009109974
ancora,ancla,0.539934
antecedente,antecedente,0.093094975
anteriore,anterior,0.32479802
anticipazione,anticipación,0.031853974
anticipazione,anticipación,0.031853974
antipatia,antipatía,0.019846976
apertura,abertura,0.152374
apocope,apócope,0.06723499
apostata,apóstata,0.03688395
apposizione,aposición,0.029650986
apposizione,aposición,0.029650986
apprezzare,apreciar,0.05071503
arare,ara,0.435407
rame,alambre,0.31866598
arbusto,arbusto,0.009232998
ardere,ardor,0.36155704
ardore,ardor,0.086290985
argilloso,arcilloso,0.025974989
argomento,argumento,0.097761035
archivio,archivo,0.24678901
archivolto,arquivoltas,0.06487
aja,era,0.327855
riccio,erizo,0.019266993
arido,árido,0.016114056
rena,arenoso,0.25761598
arma,armadura,0.337464
asso,as,0.18458799
cosí,así,0.253858
assessore,asesor,0.12675405
assiduità,asiduidad,0.04076302
astrale,astral,0.042921007
tale,atal,0.40824002
attenuare,atenuar,0.007515013
atrio,atrio,0.03902203
atroce,atroz,0.005267024
atrocità,atrocidad,0.061107993
udire,oir,0.150514
australe,austral,0.12354499
autore,autora,0.21063101
aventura,aventura,0.059015006
avido,ávido,0.14681399
assioma,axioma,0.012024045
bacillo,bacilo,0.016829967
ital,crío,0.438104
balla,baba,0.46562397
balneare,balneario,0.034962
balsamo,bálsamo,0.14405698
barba,barba,0.0023719668
barbaro,bárbaro,0.080888
vescica,vejiga,0.011531949
battere,batir,0.05898595
bere,bebedor,0.25342003
bilingue,bilingüe,0.013917983
bene,bien,0.015587032
bitume,betún,0.038607
bove,buey,0.13422
boreale,boreal,0.088851035
brachiale,braquial,0.008112967
bruto,bruto,0.21714702
bucolico,bucólico,0.008489966
buffo,buho,0.28470197
buono,bueno,0.016362011
cavallino,caballo,0.159275
quadrilatero,cuadrilátero,0.046639025
calco,pisar,0.29482502
caldaia,caldera,0.124971986
calunnia,calumnia,0.038117945
calloso,calloso,0.0047500134
canfora,alcanfor,0.0070329905
campana,campaña,0.42330703
muz,cantabile,0.370352
capo,cabeza,0.311308
cappa,capa,0.060048014
capra,cabra,0.037868977
calare,acarrear,0.260142
calare,acarrear,0.260142
carato,quilate,0.055291027
carbonaio,carbonero,0.10476801
carbone,carbon,0.28189698
cardinale,cardinal,0.272988
quale,cual,0.035630047
carie,caries,0.029561996
carnale,carnal,0.072435975
carne,carnestolendas,0.44501
carpino,carpe,0.130166
carta,libro,0.271393
castellano,castellano,0.24059099
categoria,categoría,0.17512
caudale,caudal,0.271101
causa,causar,0.23502499
casuale,casual,0.21839899
cera,querer,0.47791803
censo,censo,0.18364
centaurus,centauro,0.20356697
centurione,centurión,0.054971993
cerro,cielo,0.26713002
