word1,word2,falseness
avere,al,0.44688898
assente,absent,0.028961003
assenzio,absinthe,0.03822297
abbondare,abondant,0.14425397
acacia,acacia,0.017234981
accomodare,accommoder,0.021202981
acro,acre,0.11510602
aquila,aigle,0.012699008
adolescente,adolescent,0.0052700043
avverbio,adverbe,0.021834016
aglio,ail,0.030524015
alveo,aube,0.40762895
aleatorio,aléatoire,0.014891028
aloe,aloès,0.091461
alopecia,alopécie,0.02450198
alveolo,alvéole,0.080323994
amarezza,amer,0.32027698
ambiente,ambiant,0.160712
ambidestro,ambidextre,0.031772017
ambiguo,ambigu,0.13785097
anno,ain,0.460509
ancora,ancre,0.544456
anguilla,anguille,0.07400197
anomalia,anomalie,0.03169298
antecedente,antécédent,0.12801799
anteriore,antérieur,0.088826
antiquario,antichar,0.542654
antipatia,antipathie,0.07625598
annuale,annuel,0.054418027
apertura,aperture,0.35470098
applicare,applique,0.18171299
apocope,apocope,0.099989
arare,ara,0.33971497
rame,airain,0.42497098
arborescente,arborescent,0.124948025
ardore,ardeur,0.0111910105
argilloso,argileux,0.004597008
argomento,argument,0.16755098
archivio,archive,0.16403604
archivolto,archivolte,0.052263975
aja,air,0.23708099
riccio,hérisson,0.072248995
arma,armature,0.46899197
armatura,armature,0.24452698
asso,as,0.30868298
cosí,ainsi,0.36558598
ascendente,ascendant,0.08392203
assessore,assesseur,0.056174994
astragalo,astragale,0.076729
astrale,astral,0.07148796
astrologia,astrologue,0.14682305
astronomia,astronome,0.20672703
atrio,atrium,0.04623902
oro,or,0.0020860434
aura,aura,0.23038301
australe,austral,0.16294101
aventura,aventure,0.117939025
aborto,avorta,0.37479302
baccante,bacchante,0.019277006
balla,baba,0.378173
balsamo,baumier,0.20795801
barba,barbe,0.12896901
biennale,biennal,0.09020901
bigamo,bigame,0.014182985
bene,bien,0.016009033
bove,boeuf,0.24748701
borace,borax,0.021291971
boreale,boréal,0.201366
bovino,bovin,0.046356976
brachiale,brachial,0.017274976
brutale,brutal,0.081802964
buffo,bouffe,0.074185014
buono,bon,0.010464013
cavallo,carrousel,0.400797
calco,calque,0.12951401
calendario,frimas,0.42901802
calunnia,calomnier,0.059950054
calloso,calleux,0.05386603
calvizie,calvitie,0.010338008
muz,cantabile,0.365439
capo,cap,0.26008302
cappa,cape,0.18484598
capitare,achever,0.36229602
capillare,capillaire,0.011088967
capitale,capital,0.250779
capra,chamois,0.15614599
calare,char,0.351796
calare,charrier,0.38836402
carato,carat,0.12716201
carbonaio,charbonnier,0.166451
cardinale,cardinal,0.011123955
quale,quel,0.307884
carie,carie,0.09831703
carità,charitable,0.09228903
carne,chair,0.13843
carnivoro,carnivore,0.028829038
carpino,charme,0.23416698
carta,carte,0.11802703
castellano,châtelain,0.08325398
categoria,catégorie,0.268234
cattolico,catholique,0.02424401
causale,causal,0.06393701
causare,causer,0.18289298
casuale,casuel,0.467462
celerità,célérité,0.05197698
celeste,céleste,0.020847976
centaurus,centaure,0.12134498
centrale,central,0.02727902
centurione,centurion,0.085087
cerro,ciel,0.40704903
cervo,cerf,0.13637102
cervicale,cervical,0.05484903
città,cité,0.295308
chiave,clef,0.057371974
chiamare,clamer,0.24860603
caglio,cail,0.341483
quinquennale,quinquennal,0.058336973
cuando,quand,0.27373102
cena,cine,0.49441296
cisalpino,cisalpin,0.01553601
citrino,citrine,0.06738901
civile,civil,0.124651015
civiltà,civilité,0.465333
clemente,clément,0.127013
clemenza,clémence,0.03365001
clericale,clérical,0.08166003
cloaca,cloaque,0.020920038
corno,cor,0.0064130127
cucire,coudre,0.06519699
gomito,mitt,0.533404
cuffia,coiffe,0.11055899
collasso,collapse,0.346687
collega,collègue,0.11109698
collina,choline,0.62063205
colloquio,colloque,0.22442701
colon,colon,0.09630397
colore,colori,0.319434
comico,comique,0.014840007
comite,comité,0.212037
compatto,compact,0.029582977
compilare,compiler,0.008931041
composta,compote,0.583488
comunicativo,communicatif,0.047457993
con,co,0.592848
congedo,concession,0.280811
concetto,concept,0.010420024
concomitante,concomitant,0.048345983
concomitante,concomitant,0.048345983
concordare,concordat,0.32170102
concubina,concubin,0.058893025
conduttore,conducteur,0.19740099
confezione,confection,0.07517803
confezione,confection,0.07517803
confluente,confluent,0.019333005
confluenza,confluence,0.017876983
confondere,confondre,0.012338996
congelare,congeler,0.055945992
congruenza,congruence,0.011795998
coniugale,conjugal,0.047096968
congiuntivo,conjonctif,0.13711599
consacrare,consacrer,0.11898103
conservatore,conservateur,0.006186962
consolare,console,0.422946
consonanza,consonance,0.021556973
consorte,consort,0.08643603
costante,constant,0.184335
consul,consul,0.026935995
consolato,consulat,0.005684018
consultare,consulte,0.174384
contemporáneo,contemporain,0.27929
continue,continu,0.252986
contratto,contracter,0.432825
convalescente,convalescent,0.010881007
convezione,convection,0.045409977
conveniente,convenant,0.16995099
convento,convent,0.337087
convenzionale,conventionnel,0.07782495
convergente,convergent,0.056469977
caravella,caravelle,0.046013027
corbo,corbeau,0.36383802
corridore,corridor,0.51536196
cornuto,cornu,0.132413
incoronare,couronne,0.29749498
corolla,corolle,0.010303974
corollario,corollaire,0.011303008
corpo,corporal,0.361442
cortina,courtine,0.118221015
corvetta,corvette,0.028845966
cranio,crâne,0.0020899773
carpa,carpe,0.086393
crasi,crasse,0.19556499
credenza,croire,0.31904703
credito,crédit,0.012061954
crema,crème,0.022157997
croce,croiseur,0.53051597
crudo,cru,0.231309
cucco,coucou,0.337996
colmo,culm,0.390314
curiale,curial,0.11769298
curioso,curieux,0.0059249997
culo,cul,0.22646701
quadratura,quadrature,0.033190966
quasi,it,0.59283304
dativo,datif,0.021586
danno,dommages,0.05042699
di,dorénavant,0.40268695
debole,débile,0.245976
decade,décade,0.089462996
decennale,décennal,0.036594987
declinazione,déclinaison,0.0150209665
dedurre,déductif,0.379593
deduttivo,déductif,0.08406198
difetto,défaut,0.020809054
deflagrazione,déflagration,0.023871005
deismo,déisme,0.013480961
delicato,délicat,0.014789045
demente,dément,0.18263799
dentizione,dentition,0.0067629814
dipartimento,départ,0.581137
deposito,dépot,0.19216102
deporre,déposer,0.05173397
discendere,descendre,0.019914031
descrittivo,descriptif,0.007704973
disfare,défaire,0.011355996
distruttivo,destructive,0.070279956
detrimento,détriment,0.038605005
detrito,détritus,0.076065004
devastare,dévaster,0.02688402
diagonale,diagonal,0.092444
diastole,diastole,0.028868973
diatriba,diatribe,0.106141984
diffusione,diffusion,0.0028019547
decima,dîme,0.25563902
dilettante,dilettante,0.21165699
diligente,diligent,0.07465398
dente,dent,0.003916025
disciplinare,discipline,0.15952802
discordia,discordance,0.25804198
discreto,discret,0.08951402
discutere,discuter,0.226522
dissenso,dissension,0.05517596
ditirambo,dithyrambe,0.025379002
diverso,divers,0.361885
dividere,dividende,0.490675
dividendo,dividende,0.22632802
donna,dame,0.415588
dottrinale,doctrinal,0.023599982
donno,dam,0.40286902
donare,donne,0.26522496
dormire,dormeuse,0.46734
dosso,dos,0.200703
draco,dragon,0.116341025
duale,dual,0.07311204
ducale,ducal,0.024663985
duttile,ductile,0.007625997
dolce,doux,0.05015099
el,il,0.41904902
equino,équin,0.0054659843
equinozio,équinoxe,0.060306013
equivoco,équivoque,0.14999199
equatore,équateur,0.081753016
edificio,édifice,0.0011219978
effervescente,effervescent,0.014711976
efficiente,efficient,0.16318601
effusione,effusion,0.017776966
elettivo,électif,0.010428011
elice,hélice,0.06456101
ellisse,ellipse,0.018350005
elite,élite,0.07569602
emanare,émaner,0.16504699
emisfero,emi,0.575152
emulazione,émulation,0.116083026
emulazione,émulation,0.116083026
inchiostro,encaustique,0.20569503
energumeno,énergumène,0.122491
enigma,énigme,0.004144013
entità,entité,0.04144299
episcopale,épiscopal,0.04278797
eroico,héroïque,0.028888047
essenza,essence,0.05392897
essenziale,essentiel,0.035594046
eterno,éterniser,0.329362
evasione,évasion,0.025931
evidente,évident,0.032045007
evocare,évoquer,0.14664197
eccitare,exciter,0.01284498
esclamazione,exclamation,0.008224964
esclamazione,exclamation,0.008224964
scomunicare,excommunier,0.0031270385
esecrabile,exécrable,0.20833102
esaustivo,exhaustif,0.081830025
esordio,exorde,0.427417
espresso,express,0.27584803
esterno,externe,0.165699
fabbrica,fabrica,0.22303298
fare,facteur,0.530102
fattura,facteur,0.44719297
faggeto,fou,0.410328
falce,faux,0.36873996
falso,faux,0.017094016
familiare,familier,0.356491
famiglia,familie,0.54677397
fantasma,fantasme,0.29516703
fantastico,fantastique,0.018247008
feto,faon,0.36858603
fatale,fatal,0.105400026
febbrile,fébrile,0.026595056
fecola,fécule,0.009039998
felino,félin,0.004858017
fero,fer,0.31414598
festino,festin,0.043880016
faccia,face,0.19221199
fetido,fétide,0.012510002
feticcio,fétiche,0.03726101
feto,foetus,0.26563802
fiele,fiel,0.071483016
figurazione,figuration,0.089903
figlio,filial,0.529132
filosofare,philosopher,0.09928602
finale,final,0.23376095
finire,fini,0.25352702
filo,fil,0.10342601
firmamento,firmament,0.00092196465
fiscale,fiscal,0.06159103
fiaccola,flamme,0.036565006
flagrante,flagrant,0.056773007
fiore,floriculture,0.27108598
fluttuare,fluctuer,0.09701002
fluoro,fluor,0.03376299
flusso,fluxion,0.42273298
foglia,feuille,0.086086005
folle,fol,0.331816
formale,formel,0.035605013
formidabile,formidable,0.037509978
fortuito,fortuit,0.02601999
frazione,fraction,0.20606798
frassineto,frênaie,0.18882203
fra,confrère,0.46627504
fratricidio,fratricide,0.017657995
fregare,frayer,0.326615
frugale,frugal,0.04055798
