word1,word2,falseness
avere,a,0.27594402
assenzio,absinto,0.06583002
accomodare,acomodar,0.049611986
acro,agro,0.21878399
azione,ação,0.010926008
attività,atividade,0.020727992
acquatico,aquático,0.040966034
avversario,adversário,0.00969696
avversità,adversidade,0.013806999
aria,ar,0.024693012
agonia,agonia,0.027657986
aglio,alho,0.01782602
aleatorio,aleatório,0.056150973
aloe,aloés,0.16981903
alopecia,alopecia,0.112194
alveolo,alvéolo,0.04290104
amarezza,amargo,0.088337004
ambidestro,ambidestro,0.0042679906
anno,anno,0.23882398
anafora,anáfora,0.000919044
analogo,análogo,0.019055009
ancora,âncora,0.532798
anguilla,enguia,0.101769
anomalia,anomalia,0.011664987
antecedente,antecedente,0.016948998
anteriore,anterior,0.227788
antico,antigo,0.008651972
apatia,apatia,0.012229979
apocope,apócope,0.011636972
apologo,apólogo,0.090140045
apostasia,apostasia,0.09293699
apostrofo,apóstrofo,0.0059550405
apostrofo,apóstrofo,0.0059550405
apposizione,aposição,0.05003196
apposizione,aposição,0.05003196
apprezzare,apreciar,0.011416018
arare,arar,0.06319299
rame,arame,0.306499
albero,arvore,0.038150012
ardere,arder,0.205197
ardore,ardor,0.052201003
areola,aréola,0.04501295
argomento,argumento,0.24823004
archivolto,arquivoltas,0.012061
aja,aira,0.346659
riccio,ouriço,0.12937
arido,árido,0.03826499
rena,area,0.27372402
asso,ás,0.05647999
cosí,assim,0.167579
ascoltare,escutou,0.23365694
assessore,assessor,0.038256943
asina,asna,0.19345099
astrale,astral,0.017176986
ateo,ateu,0.007319987
atroce,atroz,0.10632998
atrocità,atrocidade,0.048964977
atrofia,atrofia,0.03852105
auricolare,auricular,0.04808998
australe,austral,0.14982197
autore,autora,0.263795
aventura,aventura,0.068371
avido,ávido,0.12689304
ascella,axila,0.04600799
bacillo,bacilo,0.009081006
balla,baba,0.369232
balneare,balneário,0.091396034
balsamo,bálsamo,0.19877702
barba,barba,0.037599027
barbaro,bárbaro,0.020347
