word1,word2,falseness
avere,a,0.25391003
abdicare,abdica,0.0068240166
aberrazione,aberație,0.032106996
ablativo,ablativ,0.064696014
abluzione,abluțiune,0.043724954
abnegazione,abnegație,0.010951996
assente,absent,0.027557999
assenza,absență,0.09739101
assenzio,absint,0.081662
assorbire,absorbi,0.02856201
astrazione,abstracție,0.08880401
abuso,abuz,0.025582016
accelerare,accelera,0.056820035
accelerazione,accelerație,0.009685993
accettare,accepta,0.081493974
quello,acel,0.14524701
acido,acid,0.03290397
accomodare,acomoda,0.04256001
acro,acru,0.10907301
attività,activitate,0.043211043
accumulare,acumula,0.04785502
accusativo,acuzativ,0.03294301
aquila,acvilă,0.085439
aderire,adera,0.023301959
adesione,adeziune,0.0087170005
adiacente,adiacent,0.09856799
aggettivo,adjectiv,0.08488697
ammirare,admira,0.054132998
ammettere,admite,0.04721397
ammissione,admisiune,0.18270001
adolescente,adolescent,0.014395952
adozione,adopție,0.15438902
addurre,aduce,0.23055598
avverbio,adverb,0.00969398
avverbiale,adverbial,0.064538
avversario,adversar,0.066798985
avversità,adversitate,0.07198003
affinità,afinitate,0.022562027
affluente,afluent,0.02415198
affondare,afunda,0.305069
agile,agil,0.025164962
agricola,agricol,0.07607204
aglio,avea,0.459764
albedo,albedo,0.00277704
album,album,0.049501
aleatorio,aleatoriu,0.11042699
allegoria,alegorie,0.02146697
alga,algă,0.064888984
aloe,aloe,0.11763698
alpino,alpin,0.031363964
altro,alt,0.040091038
altare,altar,0.02086699
alterare,altera,0.16977999
alterità,alteritate,0.048915982
altro,altul,0.0066060424
amarezza,amar,0.12688103
ambasciata,ambasadă,0.010786951
ambiente,ambiant,0.02895999
ambiguo,ambiguu,0.017952025
ambizione,ambiție,0.042322993
minacciare,amenința,0.020770013
anfiteatro,amfiteatru,0.064655036
amico,amic,0.27613798
amore,amor,0.269435
amuleto,amulet,0.04555303
amuleto,amuletă,0.020283997
anno,an,0.041904986
anafora,anaforă,0.053368986
analogo,analog,0.181043
analogia,analogie,0.039703965
ancora,ancoră,0.408715
anguilla,anghilă,0.07509503
animare,anima,0.07786
anniversario,aniversar,0.041675985
antecedente,antecedent,0.26265803
anteriore,anterior,0.273973
antiquario,anticar,0.15895301
antichità,antichitate,0.015592039
anticipazione,anticipație,0.147562
antidoto,antidot,0.022830963
antipatia,antipatie,0.058817983
rabbia,antirabic,0.29257998
annuale,anuală,0.0030750036
apatia,apatie,0.11968902
acquedotto,apeduct,0.0022209883
appendice,apendice,0.047872007
aperitivo,aperitiv,0.04457298
apertura,apertură,0.297958
appetito,apetit,0.03634399
applaudire,aplauda,0.0048460364
applicare,aplică,0.034546018
apoplessia,apoplexie,0.083817005
acquoso,apos,0.26476103
apostasia,apostazie,0.035155
apostolico,apostolic,0.024480999
apostrofo,apostrof,0.15704298
apoteosi,apoteoză,0.0003310442
apposizione,apoziție,0.203742
apprezzare,aprecia,0.06272197
apprendere,aprinde,0.31295097
arare,ara,0.17171699
rame,aramă,0.22484204
arbitrare,arbitra,0.027427971
albero,arbore,0.028658986
arco,arc,0.05075103
artico,arctic,0.019373953
ardere,ardere,0.13294098
ardore,ardoare,0.12577596
argomento,argument,0.17737997
argomentazione,argumentație,0.0122669935
architettura,arhitectură,0.03936696
archivio,arhivă,0.057523966
aja,arie,0.317361
riccio,arici,0.16654101
arido,arid,0.025906026
armatura,armătură,0.143812
arsenico,arsenic,0.17055798
arteria,arteră,0.006989002
articolo,articol,0.0064219832
artificiale,artificial,0.019330978
artificio,artificiu,0.065844
artrite,artrită,0.018483996
asso,as,0.24874802
cosí,așa,0.16897699
ascendente,ascendent,0.035782993
ascoltare,ascultat,0.09637904
assessore,asesor,0.239104
assiduità,asiduitate,0.04411
asina,asin,0.305293
aspro,aspru,0.12966302
astrale,astral,0.13692099
astronomia,astronomă,0.15982097
tale,atare,0.07730502
ateo,ateu,0.040757
attenzione,atenție,0.051045
attenuare,atenuat,0.11330801
atomo,atom,0.031075
attributo,atribut,0.013615966
atrio,atriu,0.096796036
atroce,atroce,0.10413
atrofia,atrofie,0.05744803
udire,auzi,0.014851987
aura,aură,0.064744025
austero,auster,0.041319966
australe,austral,0.068443984
autore,autoare,0.24751702
autografo,autograf,0.013936996
aventura,aventură,0.15961999
avido,avid,0.14214599
ascella,axilă,0.027607977
assioma,axiomă,0.025630057
ital,băiat,0.378999
balla,bale,0.26363903
balneare,balnear,0.029026985
balsamo,balsam,0.118604004
barba,barbă,0.11499798
barbaro,barbar,0.08327699
barbarie,barbarie,0.01602298
vescica,bășică,0.17243603
battere,bată,0.047271013
battaglia,bătaie,0.430171
bellicoso,belicos,0.075625
belligerante,beligerant,0.0016139746
beneficiario,beneficiar,0.107059
biennale,bienal,0.035522997
bilingue,bilingv,0.026383996
bene,bine,0.062949
bitume,bitum,0.043682992
bisonte,bizon,0.03067401
bove,bou,0.22008501
borace,borax,0.061087012
boreale,boreal,0.16181001
bovino,bovin,0.071037024
brachiale,brahial,0.070124984
braccio,braț,0.059295982
bruto,brut,0.38182503
bocca,bucă,0.28109998
buffo,buf,0.31137103
buono,bun,0.061867982
bussola,busolă,0.021641016
quadrilatero,cadrilater,0.392586
cavallo,cal,0.06365001
calco,călca,0.23107201
caldo,cald,0.040870965
caldaia,căldare,0.21671197
calendario,calendar,0.118972
calunnia,calomnia,0.07052797
calloso,calos,0.14128104
canfora,camfor,0.119607
campo,câmp,0.031894
canale,canal,0.0065039992
muz,cantabile,0.30025297
capo,cap,0.231329
cappa,capă,0.08230999
capitare,capete,0.36390498
capillare,capilar,0.05163899
capitale,capital,0.19038501
capra,capră,0.0129369795
calare,car,0.349562
calare,cărare,0.26967898
carato,carat,0.010316998
cardinale,cardinal,0.07518098
quale,carea,0.271319
carità,caritate,0.039656043
carnale,carnal,0.062741965
carnivoro,carnivor,0.03649497
carpino,carpen,0.059451014
carta,carte,0.12324801
casto,cast,0.18325701
castellano,castelan,0.00036597252
catalogo,catalog,0.018914044
catarro,catar,0.159221
categoria,categorie,0.06389898
catena,catenă,0.20514402
cattolico,catolic,0.024558008
causa,cauză,0.20849901
causare,cauza,0.166855
caverna,cavernă,0.041334003
cavernoso,cavernos,0.09963596
cavità,cavitate,0.028428972
cera,ceară,0.06569198
celeste,celest,0.010791004
celibato,celibat,0.05920303
cenotafio,cenotaf,0.06408
centaurus,centaur,0.062489986
centrale,central,0.07217002
centro,centru,0.0013919473
centurione,centurion,0.157116
censura,cenzură,0.021214008
cerro,cere,0.4414
cervo,cerb,0.035822988
cereale,cereală,0.079361975
cerimonia,ceremonie,0.025077045
chiedere,cerere,0.18646899
certificare,certifica,0.0018219948
cervicale,cervical,0.041516006
città,cetate,0.256462
cesura,cezură,0.037809998
chiave,chel,0.369133
chiamare,chema,0.057214975
chirurgia,chirurgie,0.015591025
cicerone,cicerone,0.20067799
quinquennale,cincinal,0.108520985
cuando,cînd,0.42458802
cena,cine,0.33215
circostanza,circumstanță,0.024657011
ciliegia,cireașă,0.116619974
citrino,citrin,0.052587986
clandestino,clandestin,0.0069280267
clemente,clement,0.041135013
clemenza,clemență,0.147841
clero,cler,0.07199103
clericale,clerical,0.043374002
clientela,clientelă,0.020208001
clima,climă,0.04189098
clinica,clinic,0.10486305
cloaca,cloacă,0.039382994
coscia,coapsă,0.04639101
cucire,coasă,0.21981302
costa,coastă,0.06037101
gomito,cot,0.15543702
coerente,coerent,0.018271983
coerenza,coerență,0.066866994
cuffia,coif,0.22165799
collaborare,colabora,0.014203012
collasso,colaps,0.0022729635
collega,coleg,0.20145598
collina,colină,0.023730993
colonna,coloană,0.0033820271
colloquio,colocviu,0.18864298
colon,colon,0.086454004
colore,color,0.37175897
colosso,colos,0.06808302
colonna,columnă,0.199083
combinazione,combinație,0.014070034
combustione,combustie,0.019445002
commemorare,comemora,0.009375989
commestibile,comestibil,0.008341968
comico,comic,0.0019310117
comite,comite,0.12353
comitato,comitet,0.006702006
compatto,compact,0.018308043
comparazione,comparație,0.11531997
compassione,compasiune,0.0048429966
compendio,compendiu,0.026267976
compensazione,compensație,0.105317
compilare,compila,0.10250598
complicare,complica,0.03805399
composta,compot,0.34140196
comprimere,comprima,0.014621973
comporre,compune,0.12156606
comunicazione,comunicație,0.041792035
comunicativo,comunicativ,0.05342102
comunione,comuniune,0.01770699
con,con,0.396653
congedo,concede,0.12926501
concetto,concept,0.030080974
concezione,concepție,0.0036759973
concessione,concesie,0.06635594
concludere,conchide,0.318203
conciliatore,conciliator,0.016561985
conclave,conclav,0.011529028
conclusione,concluzie,0.08506101
concomitante,concomitent,0.16643697
concordare,concordat,0.277453
condannare,condamna,0.020820975
conduttore,conductor,0.16417801
confessione,confesiune,0.105649054
confessore,confesor,0.054862976
configurare,configura,0.046415985
confiscare,confisca,0.00781101
conflagrazione,conflagrație,0.10417798
confluenza,confluență,0.05853802
confondere,confunda,0.032538027
congregazione,congregație,0.024549007
congresso,congres,0.005848944
congruenza,congruență,0.0075309873
congettura,conjectură,0.08694202
coniugale,conjugal,0.10269898
congiunzione,conjuncție,0.051710993
congiuntivo,conjunctiv,0.14282802
congiuntura,conjunctură,0.008473992
consacrare,consacra,0.069631994
considerare,considera,0.106269
considerazione,considerație,0.06367797
consolare,consolă,0.309875
consonante,consonant,0.11044103
consonanza,consonanță,0.0024270415
consorzio,consorțiu,0.008186042
cospirare,conspira,0.014007986
costante,constant,0.20057201
costanza,constanță,0.09693
costellazione,constelație,0.027426004
costruzione,construcție,0.12588799
consul,consul,0.01404798
consolato,consulat,0.0046679974
consultare,consult,0.075280964
contaminare,contamina,0.038966
contemplazione,contemplație,0.004319966
contemporáneo,contemporan,0.246946
contenere,conține,0.06427097
continente,continent,0.056643963
continue,continua,0.16984001
continuità,continuitate,0.00028300285
contraddizione,contradicție,0.000928998
contraddittorio,contradictoriu,0.028164983
contrario,contrar,0.056445003
contraddire,contrazice,0.018018007
contumacia,contumacie,0.0044479966
convalescenza,convalescență,0.004244983
conveniente,convenient,0.16729999
convento,convent,0.290303
convenzione,convenție,0.019484997
convergere,converge,0.038936973
convergente,convergent,0.019873023
conversione,conversiune,0.12969598
convessità,convexitate,0.0056409836
cooperare,coopera,0.112075984
caravella,corabie,0.106612
corbo,corb,0.30059698
correzione,corecție,0.14071399
corridore,coridor,0.41116098
cornuto,cornut,0.205713
incoronare,coroană,0.252997
corolla,corolă,0.03975898
corollario,corolar,0.024406016
corpo,corp,0.031432033
cortina,cortină,0.07308999
corrompere,corupt,0.112519026
corvetta,corvetă,0.08324599
cosmico,cosmic,0.09656799
carpa,crap,0.026796997
crasi,crasă,0.212724
cratere,crater,0.032682
cresta,creastă,0.023286045
creazione,creație,0.37256
creatore,creator,0.097680986
credenza,crede,0.116449
crema,cremă,0.12332699
crepuscolo,crepuscul,0.03154701
crescere,crește,0.033046007
cristallino,cristalin,0.0034860373
coccodrillo,crocodil,0.007147014
