word1,word2,falseness
a,alde,0.47733104
ábaco,ábaco,0.011505008
ébano,ébano,0.001109004
absinto,ajenjo,0.07318601
acácia,acacia,0.024600983
agro,agrio,0.35091498
adágio,adagio,0.03503099
aderir,adherirse,0.01691699
administrador,administrador,0.040085018
adverbial,adverbial,0.014276981
alho,ajo,0.041836023
alvor,albor,0.21026799
alegoria,alegoría,0.023936987
alterar,alterar,0.07637799
alvéolo,alveolo,0.008608997
ânfora,ánfora,0.003845036
amputar,amputar,0.02589196
anno,año,0.22783202
enguia,anguila,0.087941974
antinomia,antinomia,0.0053530335
raiva,rabia,0.021695971
abertura,abertura,0.16813198
apócope,apócope,0.063054025
apreciar,apreciar,0.04761702
apropriaram,apropiado,0.323694
arar,ara,0.37168503
arder,ardor,0.29674798
aréola,areola,0.06536299
argiloso,arcilloso,0.0051639676
arquivo,archivo,0.25637698
arquivoltas,arquivoltas,0.056160033
aira,era,0.281686
árido,árido,0.04203397
area,arenoso,0.338098
arma,armadura,0.31511098
arsênico,arsénico,0.036294043
ás,as,0.19607899
assiduidade,asiduidad,0.02988404
astrágalo,astrágalo,0.02181995
tal,atal,0.521935
atroz,atroz,0.024469018
ouvir,oir,0.18754601
axioma,axioma,0.008554995
bater,batir,0.045597017
bíceps,bíceps,0.0032460093
bem,bien,0.014300048
betume,betún,0.020339012
boi,buey,0.042636007
boreal,boreal,0.012310028
bovino,bovino,0.040528
braquial,braquial,0.025104046
bufo,buho,0.210614
bom,bueno,0.036001027
quadrilátero,cuadrilátero,0.062662005
cavallo,caballo,0.192377
cavalleiro,caballero,0.06684399
calcar,pisar,0.458094
calúnia,calumnia,0.037265003
caloso,calloso,0.0029700398
camisa,camisa,0.11546701
camisa,camisa,0.11546701
cânfora,alcanfor,0.027693987
cabo,cabeza,0.242102
capa,capa,0.31284496
capilar,capilar,0.010110021
carro,acarrear,0.560272
carreira,acarrear,0.597475
quilate,quilate,0.013198972
carvão,carbon,0.355414
cardeal,cardinal,0.31528696
qual,cual,0.023910046
cárie,caries,0.0091769695
carne,carnestolendas,0.434539
carta,libro,0.45312303
casa,casar,0.47346097
casto,casto,0.0050199926
castelão,castellano,0.261696
catálogo,catálogo,0.0038149953
catarro,catarro,0.0060169697
categoria,categoría,0.22034302
causal,causal,0.024561942
cera,querer,0.46930802
celestial,celeste,0.25918502
cenotáfio,cenotafio,0.0023229718
centurião,centurión,0.05272597
cinza,ceniza,0.19645602
cepo,cepo,0.016678989
ceo,cielo,0.585425
chave,llave,0.028097004
coalho,cuajo,0.019716978
cicerone,cicerone,0.0012459755
quinquenal,quinquenal,0.0058870316
cuando,cuando,0.16628501
cea,cena,0.449899
cingir,ceñir,0.026307017
cíngulo,cíngulo,0.050749004
cereja,cerezo,0.21521601
citado,citado,0.016128004
civilidade,civilidad,0.034949005
clemente,clemente,0.08030796
cloaca,cloaca,0.019222021
cozer,acá,0.43022698
corno,cornudo,0.15093797
costa,cuesta,0.542701
coto,code,0.38900203
cozer,acá,0.43022698
coifa,cofia,0.16050398
colega,colega,0.0038849711
cólon,colon,0.045370042
colosso,coloso,0.008574009
cobra,culebra,0.21908799
composto,compuesto,0.047995985
concepção,concepción,0.14765596
concepção,concepción,0.14765596
congestionamento,congestión,0.021275997
congruente,congruente,0.022872984
conjunção,conjunción,0.03855598
consistório,consistorio,0.039819002
consolá,consolar,0.019279003
consoante,consonante,0.005427003
constância,constancia,0.027125984
continência,continencia,0.0015259981
