word1,word2,falseness
a,al,0.33475903
ébano,ébène,0.010607004
abominável,abominable,0.050065994
ausente,absent,0.04038495
acácia,acacia,0.010268986
acadêmico,académique,0.01473397
acomodar,accommoder,0.18041298
agro,acre,0.45016104
adágio,adage,0.059652984
adjetivo,adjectif,0.00016599894
ajudante,adjudant,0.019837976
adolescente,adolescent,0.008204997
advérbio,adverbe,0.04267901
afetação,affectation,0.23588797
afetivo,affectif,0.019674957
ágil,agile,0.007490039
alho,ail,0.063236
alvor,aubour,0.323621
alimento,aliment,0.014705002
aloés,aloès,0.044081986
alterar,altérer,0.15402001
alvéolo,alvéole,0.07956201
amargo,amer,0.19135901
ambiente,ambiant,0.20214799
ambidestro,ambidextre,0.031901002
ambíguo,ambigu,0.163811
amputar,amputer,0.0029709935
anno,ain,0.35194898
anáfora,anaphore,0.022630036
anátema,anathème,0.007589042
âncora,ancre,0.0044849813
anomalia,anomalie,0.025660038
antecedente,antécédent,0.054598004
anterior,antérieur,0.024534017
antigo,antique,0.20087996
antiquário,antichar,0.54927
antinomia,antinomie,0.01812303
antipatia,antipathie,0.068165004
antípoda,antipode,0.078922
anual,annuel,0.022160053
apatia,apathie,0.06558001
aperitivo,apéritif,0.02819705
abertura,aperture,0.38563302
aplicar,applique,0.14767796
apócope,apocope,0.121672004
apólogo,apologue,0.05473298
apóstrofo,apostrophe,0.07598901
apóstrofo,apostrophe,0.07598901
aposição,apposition,0.058040977
aposição,apposition,0.058040977
apropriaram,approprier,0.07156998
arar,ara,0.217137
arame,airain,0.26287603
aréola,aréole,0.035210967
argumento,argument,0.06300801
arquivo,archive,0.049381018
arquivoltas,archivolte,0.04815799
aira,air,0.24974802
ouriço,hérisson,0.051144004
arma,armature,0.476224
armadura,armature,0.260635
arsênico,arsenic,0.019744039
artificial,artificiel,0.017870009
artrite,arthrite,0.02441901
ás,as,0.15864898
assim,ainsi,0.068364024
ascendente,ascendant,0.09306899
assessor,assesseur,0.105346024
asna,âne,0.17064902
áspero,âpre,0.09476
asmático,asthmatique,0.036553025
astrágalo,astragale,0.15123701
astrologia,astrologue,0.155078
astronomia,astronome,0.246306
atavismo,atavisme,0.034295976
onipotência,omnipotence,2.1994114e-05
átrio,atrium,0.029169977
atroz,atroce,0.07572496
aura,aura,0.215852
auricular,auriculaire,0.010482013
aurífero,aurifère,0.0036659837
austral,austral,0.093801975
autora,auteur,0.16462499
avareza,avarice,0.030764997
ávido,avide,0.057076037
aborto,avorta,0.33534896
bálsamo,baumier,0.106622994
barba,barbe,0.054504037
bebedor,boire,0.043824017
bíceps,biceps,0.07104403
bienal,biennal,0.097799
bígamo,bigame,0.07890597
betume,bitume,0.092255
bisão,bison,0.077157974
boi,boeuf,0.13015601
bórax,borax,0.045265973
boreal,boréal,0.10561201
bovino,bovin,0.06933397
braquial,brachial,0.082510054
brutal,brutal,0.089800954
bufo,bouffe,0.21665502
cair,change,0.41537303
cair,change,0.41537303
cavallo,carrousel,0.285168
cavalleiro,chevalier,0.105205
calcar,calque,0.38695002
caldo,chaud,0.276927
calendário,frimas,0.39703104
calúnia,calomnier,0.041221023
caloso,calleux,0.128761
camisa,chemise,0.07120299
camisa,chemise,0.07120299
cânfora,camphre,0.019683003
cabo,cap,0.023550004
capa,cape,0.39143902
cabo,achever,0.278514
capilar,capillaire,0.005863011
capital,capital,0.226349
cabra,chamois,0.25036404
carro,char,0.31355
carreira,charrier,0.572521
quilate,carat,0.13200301
cardeal,cardinal,0.004303992
qual,quel,0.25433502
cárie,carie,0.17544597
caridade,charitable,0.089944005
carnal,charnelle,0.0040169954
carne,chair,0.20291895
carpe,charme,0.22172499
carta,carte,0.28122202
casa,caisse,0.402768
casto,chaste,0.012091994
castelão,châtelain,0.06915802
categoria,catégorie,0.255593
causar,cause,0.271606
causal,causal,0.037073016
causar,causer,0.19554299
cavernoso,caverneux,0.03439498
casual,casuel,0.21442899
celeridade,célérité,0.04449898
celestial,céleste,0.032358944
cenotáfio,cénotaphe,0.023518026
censo,cens,0.371616
centurião,centurion,0.09436998
cinza,cendre,0.19709602
cepo,cep,0.19339502
ceo,ciel,0.561774
cervo,cerf,0.19928202
cervical,cervical,0.018260002
cidade,cité,0.25722903
claro,clair,0.014458001
chave,clef,0.078628
chamar,clamer,0.258161
coalho,cail,0.43964803
cuando,quand,0.268039
cea,cine,0.15086201
cingir,ceindre,0.09817198
cinismo,cynisme,0.026543021
circunstância,circonstance,0.036413968
cereja,cerise,0.011840999
cereja,cerise,0.011840999
cisalpino,cisalpin,0.015385985
citado,citer,0.22116801
citrina,citrine,0.035911024
civilidade,civilité,0.0011650324
clemente,clément,0.15448499
clemência,clémence,0.03369701
clerical,clérical,0.07792997
cloaca,cloaque,0.035889983
cozer,cuire,0.097085
corno,cor,0.292545
coser,coudre,0.08837801
coto,mitt,0.40523002
cóclea,cochlée,0.013130963
coifa,coiffe,0.19164002
colapso,collapse,0.34307
colina,choline,0.44705302
colóquio,colloque,0.016869962
cólon,colon,0.22842202
cor,colori,0.33834097
colostro,colostrum,0.038492978
comemorar,commémorer,0.035862982
cometer,comité,0.57663
compota,compote,0.017445982
composto,composite,0.35559702
compulsão,compulsion,0.042697966
comunicativo,communicatif,0.024691045
cone,co,0.35519797
conceder,concession,0.34228304
concluir,conclure,0.017850995
conclusão,conclusion,0.017995
concomitante,concomitant,0.035804987
concomitante,concomitant,0.035804987
concubina,concubin,0.10358399
conflagração,conflagration,0.0032120347
confluência,confluence,0.021839023
congelar,congeler,0.08042097
congênere,congénère,0.129538
congruência,congruence,0.018271029
conjugal,conjugal,0.04753095
consagrar,consacrer,0.07794103
conservador,conservateur,0.010646999
consolá,console,0.26648697
consonância,consonance,0.15465498
conspirar,conspirer,0.016407013
constante,constant,0.13964403
consultar,consulte,0.11289805
contágio,contagion,0.020377994
contíguo,contigu,0.0022540092
continência,continence,0.05131197
continuar,continu,0.53372395
contrato,contracter,0.470226
contrário,contraire,0.020710051
contusão,contusion,0.19329298
contusão,contusion,0.19329298
convalescente,convalescent,0.0024749637
conveniente,convenant,0.20184702
convento,convent,0.304737
convencional,conventionnel,0.10729301
convergente,convergent,0.10184997
comboio,convoi,0.0070230365
caravela,caravelle,0.07102996
corvo,corbeau,0.00119102
corredor,corridor,0.104714006
cornudo,cornu,0.16305798
corroborar,corroborer,0.0010150075
corola,corolle,0.023970962
corpo,corporal,0.35584703
cortina,courtine,0.14404398
corrupto,corrompre,0.13200003
corveta,corvette,0.041221976
carpa,carpe,0.05015102
quebrar,crever,0.360552
crasso,crasse,0.37077904
crista,crête,0.049534023
crepúsculo,crépuscule,0.0078070164
cristalino,cristallin,0.032592952
crocodilo,crocodile,0.011497021
cruz,croiseur,0.36639702
cru,cru,0.13479301
cuco,coucou,0.14723
cunho,cine,0.390894
culminar,culminer,0.0025649667
conhecer,connaître,0.06874198
correia,courir,0.36864802
curial,curial,0.060288996
cu,cul,0.315351
quadrante,quadrant,0.0076109767
quadratura,quadrature,0.022726
quase,it,0.59692
dativo,datif,0.015986979
dano,dommages,0.023612022
de,dorénavant,0.24583
débil,débile,0.22156602
década,décade,0.527608
decálogo,décalogue,0.02333197
deão,doyen,0.0147999525
dezembro,décembre,0.010380983
decenal,décennal,0.061398983
declinação,déclinaison,0.14634201
dedicar,dédier,0.19109005
deduzir,déductif,0.265352
dedutivo,déductif,0.036653996
defecar,déféquer,0.024878025
defecação,défécation,0.047931015
defecação,défécation,0.047931015
defeito,défaut,0.04974103
deficiente,déficient,0.018935025
deflagração,déflagration,0.062852025
dedo,doigt,0.012506962
golfinho,dauphin,0.18826401
deliberativo,délibératif,0.038016975
demente,dément,0.205605
denegrir,dénigrer,0.003404975
depósito,dépot,0.118465036
depôr,déposer,0.18071496
descer,descendre,0.013939977
desfazer,défaire,0.0059080124
desligar,délier,0.26362696
destrutivo,destructive,0.038383007
detrito,détritus,0.055319995
devastar,dévaster,0.014669001
diadema,diadème,0.036871016
diagonal,diagonal,0.06946102
diástole,diastole,0.02504301
décima,dîme,0.45644802
diligente,diligent,0.10099998
dente,dent,0.104947984
discórdia,discordance,0.32503298
discreto,discret,0.021534026
discutir,discuter,0.24674699
discussão,discussion,0.0018770099
distributivo,distributif,0.009966016
ditirambo,dithyrambe,0.03900999
diverso,divers,0.093173
divertículo,diverticule,0.036374986
dividir,dividende,0.435756
dona,dame,0.20374
doutrinal,doctrinal,0.06270903
dom,dam,0.392755
doar,donne,0.26654497
dormir,dormeuse,0.40178302
dorso,dos,0.27360302
dote,dot,0.026962996
drama,drame,0.008579016
dramático,dramatique,0.023569047
dobrar,double,0.303682
ducal,ducal,0.044607997
duelo,duel,0.006489992
doce,doux,0.14764398
duplo,duplex,0.330634
duplicação,duplication,0.012401998
durável,durable,0.106024
él,il,0.313895
equino,équin,0.021643996
equinócio,équinoxe,0.08882004
equívoco,équivoque,0.15650302
edifício,édifice,0.050108016
editor,éditeur,0.06755
efervescente,effervescent,0.048551023
eficiente,efficient,0.22906399
efusão,effusion,0.10206702
eletivo,électif,0.019002974
elipse,ellipse,0.030991018
elisão,élision,0.03187701
emanação,émanation,0.0037450194
emanação,émanation,0.0037450194
emancipar,émanciper,0.024246007
hemisfério,emi,0.64162004
emulação,émulation,0.15327302
emulação,émulation,0.15327302
enormidade,énormité,0.0049819946
episcopal,épiscopal,0.055849016
essência,essence,0.07348102
essencial,essentiel,0.016249001
eterno,éterniser,0.300486
eufonia,euphonie,0.056178987
evasão,évasion,0.06197101
evidência,évidence,0.08776498
excesso,excès,0.0100899935
excitar,exciter,0.0018529892
excomungado,excommunier,0.045010984
execrável,exécrable,0.222476
exaustivo,exhaustif,0.11778599
explorar,explorer,0.03469801
exportar,exportation,0.093683004
extensão,extension,0.04121095
externo,externe,0.033553958
extração,extraction,0.03163302
exuberância,exubérance,0.02077198
fábrica,fabrica,0.255047
fazer,facteur,0.569397
fatura,facteur,0.42328697
faia,fou,0.350687
falsidade,fausseté,0.050599992
familiar,familier,0.314623
família,familie,0.508119
fantasma,fantasme,0.26929203
feitiço,fait,0.4117
fora,fors,0.43805802
farsa,farce,0.074509025
feto,faon,0.385875
fatal,fatal,0.043018043
faisão,faisan,0.052438974
febril,fébrile,0.077871025
felino,félin,0.01117003
festa,festin,0.35342097
fétido,fétide,0.07914901
feitiço,fétiche,0.264031
feto,foetus,0.20273599
figado,foie,0.02642098
fiduciário,fiduciaire,0.025259018
fel,fiel,0.080421
filho,filial,0.57668203
filiação,filiation,0.04632598
filiação,filiation,0.04632598
filosofar,philosopher,0.09347302
final,final,0.046935022
finito,fini,0.14786601
fio,fil,0.028192997
fiscal,fiscal,0.033949018
chama,flamme,0.29561698
flexível,flexible,0.035691977
flor,floriculture,0.28692698
flutuar,fluctuer,0.25257203
flutuação,fluctuation,0.14861399
flutuação,fluctuation,0.14861399
flúor,fluor,0.027222991
fluxo,fluxion,0.35917404
folle,fol,0.237874
fome,faim,0.042621017
formal,formel,0.01117599
formidável,formidable,0.09533003
fração,fraction,0.038183033
fraturar,fracture,0.102755964
franja,frange,0.018893957
freixo,frênaie,0.184278
fratricida,fratricide,0.016565979
frívolo,frivole,0.013364017
frontispício,frontispice,0.059054017
frugal,frugal,0.01986903
frugalidade,frugalité,0.008476019
fronte,effronté,0.25743002
fugir,fuge,0.618626
fuga,fougueux,0.40654597
fumo,fumée,0.053756
fumigação,fumigation,0.027568996
fumigação,fumigation,0.027568996
forca,fourche,0.28310198
forno,drapeau,0.46968502
formiga,fourmi,0.064026
foder,foutre,0.028611034
fútil,futile,0.037588
galicano,gallican,0.040975004
generalidade,généralité,0.020428002
genital,génital,0.030268967
gênio,génie,0.15358603
genciana,gentiane,0.129711
germinar,germer,0.10550898
gesto,geste,0.0045160055
gesto,gesta,0.34366
gengibre,gingembre,0.02845496
lande,gland,0.306269
glacial,glacial,0.25418198
glaucoma,glaucome,0.02998203
globo,globe,0.08078799
glóbulo,globule,0.05375302
glúten,glu,0.422141
graxo,gras,0.21463001
graça,gracier,0.17811102
grátis,gratis,0.24421602
grosso,grosse,0.205803
grua,grue,0.124553025
goma,gomme,0.026171982
gosto,dégoûter,0.15748
gota,goute,0.21228299
arminho,hermine,0.090844035
herpes,herpès,0.038088024
jacinto,hyacinthe,0.25949302
quimera,chimère,0.0003990233
levar,ier,0.522637
iâmbico,iambique,0.0016289949
herva,herbe,0.173756
levar,lever,0.28671098
idílio,idylle,0.07682997
idioma,idiome,0.09944999
idiota,idiot,0.068609
idolo,idolâtre,0.09922701
hera,lierre,0.31224
lebre,lièvre,0.06400299
eu,je,0.03549999
ignorância,ignorance,0.0116350055
iluminação,illumination,0.09653503
ilustre,illustre,0.150738
ilusório,illusoire,0.012878001
