word1,word2,falseness
a,avere,0.262839
abadessa,abbadessa,0.15089601
ablativo,ablativo,0.0031300187
absinto,assenzio,0.06252399
acácia,acacia,0.033611
acomodar,accomodare,0.14002901
agro,acro,0.41628897
admirar,ammirare,0.008175015
aforismo,aforisma,0.050067008
agonia,agonia,0.004916966
alho,aglio,0.07829702
aleatório,aleatorio,0.048584998
alga,alga,0.03184998
alimento,alimento,0.0006159544
aloés,aloe,0.21396503
alterar,alterare,0.133156
alteridade,alterità,0.009519994
alvéolo,alveolo,0.022693038
amargo,amarezza,0.037494957
ânfora,anfora,1.40070915e-05
amputar,amputare,0.007892966
anno,anno,0.05171299
âncora,ancora,0.21814801
enguia,anguilla,0.13403502
animosidade,animosità,0.015426993
anterior,anteriore,0.21297303
antiguidade,antichità,0.016584992
aparência,apparenza,0.092852
apatia,apatia,0.0045980215
aperitivo,aperitivo,0.08941001
apócope,apocope,0.03396201
apólogo,apologo,0.09704602
apóstata,apostata,0.0058839917
apóstrofo,apostrofo,0.02460903
apóstrofo,apostrofo,0.02460903
aposição,apposizione,0.036661983
aposição,apposizione,0.036661983
apreciar,apprezzare,0.01945901
aprender,apprendere,0.08583599
arame,rame,0.31408697
ártico,artico,0.009021997
arder,ardere,0.123079985
ardor,ardore,0.039564013
aréola,areola,0.07733095
argumento,argomento,0.14048803
arquivoltas,archivolto,0.04945296
aira,aja,0.366171
ouriço,riccio,0.12016499
árido,arido,0.0125389695
area,rena,0.25278598
harmônico,armonico,0.041372
arsênico,arsenico,0.022941053
artigo,articolo,0.03505999
artrite,artrite,0.011624992
ás,asso,0.014771998
assim,cosí,0.29820603
escutou,ascoltare,0.076783
assessor,assessore,0.07360196
asna,asina,0.20742899
áspero,aspro,0.026897013
astrágalo,astragalo,0.023967028
ateu,ateo,0.008485973
atroz,atroce,0.103679
ouvir,udire,0.11967796
auricular,auricolare,0.026495993
austral,australe,0.08000299
autora,autore,0.24364498
aventura,aventura,0.287364
ávido,avido,0.041481018
bacilo,bacillo,0.014824986
baba,balla,0.24698201
balneário,balneare,0.003847003
bálsamo,balsamo,0.19006503
bárbaro,barbaro,0.139101
bebedor,bere,0.037829995
brecha,breccia,0.0063260198
bígamo,bigamo,0.035678983
bem,bene,0.13536099
boi,bove,0.259717
bórax,borace,0.024414003
boreal,boreale,0.0059090257
bovino,bovino,0.08594698
braquial,brachiale,0.017652988
bruto,bruto,0.16091597
bufo,buffo,0.178081
bom,buono,0.055229962
busto,busto,0.05993998
cavalo,cavallino,0.23974398
quadrilátero,quadrilatero,0.063066006
cavallo,cavallo,0.10740602
calcar,calco,0.37285703
caldo,caldo,0.29138
calúnia,calunnia,0.018140018
caloso,calloso,0.04602897
cânfora,canfora,0.08379996
camelo,cammello,0.036639035
campanha,campana,0.493596
cânula,cannula,0.065432966
cabo,capo,0.10951501
capa,cappa,0.434014
cabresto,capestro,0.22373402
cabo,capitare,0.294357
capilar,capillare,0.14173502
cabra,capra,0.12235403
carro,calare,0.38524
carreira,calare,0.617329
quilate,carato,0.036460012
qual,quale,0.0017870069
cárie,carie,0.029569983
caridade,carità,0.016906977
carpe,carpino,0.21716599
carta,carta,0.19790399
casto,casto,0.034298986
castelão,castellano,0.109209
cateter,catetere,0.0011279583
caudal,caudale,0.062289953
causar,causa,0.26601398
caverna,caverna,0.004245043
casual,casuale,0.08386198
celestial,celeste,0.097589016
cenotáfio,cenotafio,0.06455803
censo,censo,0.32809198
centauro,centaurus,0.05599302
ceo,cerro,0.48977202
cervo,cervo,0.02203399
cereal,cereale,0.054696977
querer,chiedere,0.156043
chamar,chiamare,0.019777
coalho,caglio,0.08779204
cirurgia,chirurgia,0.029576004
cicerone,cicerone,0.13371098
