word1,word2,falseness
a,a,0.055828005
ábaco,abac,0.11375898
ébano,abanos,0.09355402
abadessa,abatesă,0.003091991
abdicar,abdica,0.03831297
aberração,aberație,0.008192003
ablução,abluțiune,0.025174975
abnegação,abnegație,0.06844902
ausência,absență,0.110255
absinto,absint,0.04837805
absorver,absorbi,0.069567025
abstração,abstracție,0.087762
absurdo,absurd,0.022751987
abundância,abundență,0.020530999
abuso,abuz,0.028578997
academia,academie,0.07774699
acadêmico,academic,0.076765
acelerar,accelera,0.047901988
aceitar,accepta,0.03812903
ácido,acid,0.010621011
acomodar,acomoda,0.04371801
agro,acru,0.356906
atividade,activitate,0.010495007
acumular,acumula,0.05574
aquário,acvariu,0.0029519796
águia,acvilă,0.11512101
aderir,adera,0.047237962
adesão,adeziune,0.00062799454
adjetivo,adjectiv,0.028860986
ajudante,adjutant,0.0014520288
admirar,admira,0.06904805
admitir,admite,0.038922966
admissão,admisiune,0.045453012
adolescente,adolescent,0.0016880035
adoção,adopție,0.19045597
advérbio,adverb,0.034776032
adverbial,adverbial,0.064318
adversário,adversar,0.05482298
adversidade,adversitate,0.025367022
afetar,afecta,0.08519602
afluente,afluent,0.0097029805
aforismo,aforism,0.075212955
afundar,afunda,0.26658103
ágil,agil,0.027809978
agonia,agonie,0.017286956
agressão,agresiune,0.003910005
agrícola,agricol,0.018859982
alho,avea,0.431373
ajudar,ajuta,0.037575006
álbum,album,0.038174987
aleatório,aleatoriu,0.033565998
alegoria,alegorie,0.024197042
alga,algă,0.081058025
álgebra,algebră,0.012677968
alimento,aliment,0.078248024
aloés,aloe,0.10000199
alpino,alpin,0.011237979
outro,alt,0.0032569766
altar,altar,0.0044810176
alterar,altera,0.29388696
alteridade,alteritate,0.05878502
outro,altul,0.026524961
amargo,amar,0.05573398
ambiente,ambiant,0.03287399
ambíguo,ambiguu,0.0013369918
ambição,ambiție,0.035843015
ameaçar,amenința,0.02895397
anfiteatro,amfiteatru,0.051688015
amigo,amic,0.336993
amor,amor,0.23767003
amuleto,amuletă,0.006250024
anno,an,0.14711499
anáfora,anaforă,0.08614698
análogo,analog,0.035804003
analogia,analogie,0.0030929446
enguia,anghilă,0.15256798
animar,anima,0.10531798
aniversário,aniversar,0.037141025
antecedente,antecedent,0.09342599
anterior,anterior,0.146047
antigo,antic,0.079129964
