word1,word2,falseness
a,alde,0.363981
abac,ábaco,0.08771899
abanos,ébano,0.051993012
ablativ,ablativo,0.0039849877
absint,ajenjo,0.054788977
absorbi,absorber,0.016030014
academic,académico,0.020191014
accelera,acelerar,0.010122001
accepta,aceptar,1.8000603e-05
acel,aquel,0.026145041
acomoda,acomodar,0.065025985
acru,agrio,0.048949003
acvariu,acuario,0.053726017
acvilă,águila,0.066759974
adapta,adaptar,0.027052045
adjectiv,adjetivo,0.013496041
adjutant,ayudante,0.10036099
administrator,administrador,0.008370042
admite,admitir,0.010127008
admisiune,admisión,0.03523004
adopție,adopción,0.060674965
aduce,aducir,0.260975
adverbial,adverbial,0.01886797
adversitate,adversidad,0.00237
aforism,aforismo,0.013523996
agil,ágil,0.023076981
agonie,agonía,0.010622025
avea,ajo,0.30522597
albedo,albedo,0.027020037
aleatoriu,aleatorio,0.010583997
alegorie,alegoría,0.03555703
algă,alga,0.090511024
algebră,álgebra,0.023173988
aliment,alimento,0.039133012
altera,alterar,0.066534996
alteritate,alteridad,0.0066429973
altul,otro,0.004617989
ambiant,ambiente,0.00060904026
ambiguu,ambiguo,0.06026703
amenința,amenazar,0.02381599
amforă,ánfora,0.06301397
amuletă,amuleto,0.037844002
an,año,0.037589997
anaforă,anáfora,0.017800033
analog,análogo,0.015473992
ancoră,ancla,0.06847802
anghilă,anguila,0.13257799
anima,animar,0.147955
animozitate,animosidad,0.008328021
antecedent,antecedente,0.125404
anterior,anterior,0.083868
antic,antiguo,0.14591497
anticar,anticuario,0.05054301
anticipație,anticipación,0.067065
antidot,antídoto,0.062288046
antimoniu,antimonio,0.036574006
antipatie,antipatía,0.0092999935
antirabic,rabia,0.21463397
apatie,apatía,0.029092997
apendice,apéndice,0.037906975
aperitiv,aperitivo,0.078628
apertură,abertura,0.048736006
aplauda,aplaudir,0.025151014
aplicație,aplicación,0.019143999
apoplexie,apoplejía,0.001922965
apostazie,apostasía,0.05114299
apoteoză,apoteosis,0.02046597
aprecia,apreciar,0.208678
aprinde,aprender,0.431986
ara,ara,0.11122301
aramă,alambre,0.15894899
arbitra,arbitrar,0.052028
arbure,árbol,0.050345987
arbust,arbusto,0.025758982
ardere,ardor,0.44341502
ardoare,ardor,0.15890604
argument,argumento,0.041894972
arhivă,archivo,0.25484103
arie,era,0.310717
arici,erizo,0.097433
arid,árido,0.014235973
armă,armadura,0.24183497
armătură,armadura,0.21693403
artificial,artificial,0.03073901
artrită,artritis,0.081942976
as,as,0.129987
așa,así,0.10334304
asesor,asesor,0.13897899
asfalt,asfalto,0.025279999
asiduitate,asiduidad,0.20102301
aspru,áspero,0.071471006
astral,astral,0.043608993
astronomă,astronomía,0.019859016
atare,atal,0.381077
atenuat,atenuar,0.06794703
atriu,atrio,0.10494098
atroce,atroz,0.040850967
atrofie,atrofia,0.049106
auzi,oir,0.06200397
aură,aura,0.154138
auster,austero,0.007376015
austral,austral,0.145764
autentic,auténtico,0.043582022
autoare,autora,0.005190015
axilă,axila,0.12270498
axiomă,axioma,0.054297984
băiat,crío,0.298209
bale,baba,0.263206
balnear,balneario,0.014723003
balsam,bálsamo,0.081745
barbar,bárbaro,0.035875976
barbarie,barbarie,0.0027639866
bășică,vejiga,0.119587004
bată,batir,0.091930985
bătaie,batalla,0.183792
bea,bebedor,0.15189898
belicos,belicoso,0.026160002
beligerant,beligerante,0.0031210184
biceps,bíceps,0.123115
bitum,betún,0.040174007
bou,buey,0.056098998
borax,bórax,0.063639045
boreal,boreal,0.029957026
boteza,bautizar,0.036424994
bovin,bovino,0.010222971
brahial,braquial,0.102237046
brut,bruto,0.066603005
bucă,boca,0.261967
buf,buho,0.17565402
bun,bueno,0.22503999
bunătate,bondad,0.008624017
buric,ombligo,0.08477199
busolă,brújula,0.08214897
cad,caer,0.030592978
cadrilater,cuadrilátero,0.42518598
călare,caballero,0.24203601
călca,pisar,0.033941
căldare,caldera,0.08540499
calomnia,calumnia,0.007798016
calos,calloso,0.082233965
cămașă,camisa,0.018651962
camfor,alcanfor,0.103091985
cangrenă,gangrena,0.06213802
cantabile,cantabile,0.11915699
cap,cabeza,0.005997002
capă,capa,0.20756501
capilar,capilar,0.017565012
capital,capital,0.14522803
capră,cabra,0.040749013
car,acarrear,0.366801
cărare,acarrear,0.23639001
carat,quilate,0.06476399
cărbune,carbon,0.298429
cardinal,cardinal,0.120094
carea,cual,0.12579101
caritate,caridad,0.019545019
carnal,carnal,0.07907799
carne,carnestolendas,0.19737202
carnivor,carnívoro,0.011317015
carpen,carpe,0.23304302
casă,casar,0.332141
cast,casto,0.283641
castelan,castellano,0.27139497
castor,castor,0.007095009
catar,catarro,0.013930976
catastrofă,catástrofe,0.0033060312
categorie,categoría,0.09790403
catenă,cadena,0.18472001
caustic,cáustico,0.016339004
cauză,causar,0.13917598
cauzal,causal,0.068029046
cauza,causar,0.18751097
cavernos,cavernoso,0.011397004
ceară,querer,0.19187704
celest,celeste,0.10822597
centurion,centurión,0.089044005
cep,cepo,0.201808
cere,cielo,0.452657
cerb,ciervo,0.02421701
cereală,cereal,0.039202034
cerere,querer,0.43003398
certifica,certificar,5.1021576e-05
cetate,ciudad,0.21719497
cezură,cesura,0.047847986
chel,llave,0.316086
chema,llamar,0.009434998
chirurgie,cirugía,0.016342998
cicatrice,cicatriz,0.06572199
cicerone,cicerone,0.11230904
cînd,cuando,0.010547012
cine,cena,0.39331797
circuit,circuito,0.0110189915
circumstanță,circunstancia,0.032367975
cireașă,cereza,0.13355902
cireș,cerezo,0.11412302
clandestin,clandestino,0.05864203
