word1,word2,falseness
a,al,0.366048
abac,abaque,0.046588004
abanos,ébène,0.12009099
abdica,abdiquer,0.017472982
ablativ,ablatif,0.03028202
absență,absence,0.033440024
absint,absinthe,0.069419
abstinență,abstinence,0.06469196
accelera,accélérer,0.015335977
acomoda,accommoder,0.10493797
acru,acre,0.299737
acvatic,aquatique,0.006121993
acvilă,aigle,0.09462699
adjutant,adjudant,0.013695002
admite,admettre,0.07748002
admisiune,admission,0.019821972
adopție,adoption,0.03545904
aforism,aphorisme,0.007237971
agil,agile,0.08309698
agonie,agonie,0.03832996
avea,ail,0.28999
alege,allier,0.44665697
alegorie,allégorie,0.027068973
algă,algue,0.028184026
aloe,aloès,0.11946002
altera,altérer,0.08881697
altul,autre,0.030885994
amar,amer,0.09971702
ambiant,ambiant,0.049580038
ambiguu,ambigu,0.14557603
amenința,menacer,0.049513042
amfiteatru,amphithéâtre,0.007099986
amor,amour,0.085860014
amulet,amulette,0.007934988
amuletă,amulette,0.019430041
an,ain,0.239501
anaforă,anaphore,0.02720499
analog,analogue,0.06610504
anghilă,anguille,0.030503988
animozitate,animosité,0.049014986
anomalie,anomalie,0.028535962
anterior,antérieur,0.155557
anticar,antichar,0.028252006
antidot,antidote,0.06441295
antimoniu,antimoine,0.046233
antipatie,antipathie,0.011875987
anuală,annuel,0.08903301
apatie,apathie,0.012695998
apendice,appendice,0.018933952
aperitiv,apéritif,0.112268984
apertură,aperture,0.09759903
apetit,appétit,0.015354991
aplauda,applaudir,0.0050359964
aplicație,application,0.05511999
apostat,apostat,0.0077310205
apostolic,apostolique,0.01336503
apostrof,apostrophe,0.153305
apoziție,apposition,0.13228402
aprecia,apprécier,0.045682013
aprinde,apprendre,0.33695897
ara,ara,0.123328
aramă,airain,0.132707
arbitra,arbitrer,0.020428956
arbitrar,arbitraire,0.014321983
arbure,arbre,0.09964201
ardoare,ardeur,0.05104202
argilos,argileux,0.043269992
argument,argument,0.06709105
arhivă,archive,0.116988
arie,air,0.32225698
arici,hérisson,0.03470102
armă,armature,0.33844703
arogant,arrogant,0.0104929805
arsenic,arsenic,0.051897973
artificiu,artifice,0.041736007
artrită,arthrite,0.067429006
as,as,0.10724801
așa,ainsi,0.228502
ascendent,ascendant,0.12102002
asfalt,asphalte,0.03942299
asiduitate,assiduité,0.039339006
asin,âne,0.288427
aspru,âpre,0.132
astral,astral,0.015370995
ateu,athée,0.01473999
atenuat,atténuer,0.052770972
atracție,attraction,0.04224199
atriu,atrium,0.03180203
atrofie,atrophie,0.0023539662
aură,aura,0.24227901
austral,austral,0.078254014
autoare,auteur,0.159136
autograf,autographe,0.004517019
avid,avide,0.029358
avort,avorta,0.25525302
bale,baba,0.307835
balnear,balnéaire,0.028118014
balsam,baumier,0.17365
barbă,barbe,0.059033006
bășică,vessie,0.073091984
bătaie,bataille,0.141653
belicos,belliqueux,0.11781001
biceps,biceps,0.12489498
bienal,biennal,0.056580007
bitum,bitume,0.096790016
bituminos,bitumineux,0.05414599
bizon,bison,0.12695998
bou,boeuf,0.123869
borax,borax,0.05687505
boreal,boréal,0.13021201
bovin,bovin,0.106290996
brahial,brachial,0.102519035
brutal,brutal,0.05343002
bucă,bouche,0.18304199
buf,bouffe,0.10487601
