word1,word2,falseness
a,avere,0.181391
abatesă,abbadessa,0.076967
ablativ,ablativo,0.042926013
absint,assenzio,0.036309004
absorbi,assorbire,0.046504974
abundență,abbondanza,0.0028339624
accelera,accelerare,0.030569017
accelerație,accelerazione,0.02117896
accepta,accettare,0.00594002
acel,quello,0.23308
acid,acido,0.0017039776
acomoda,accomodare,0.067609996
acru,acro,0.31115797
acvilă,aquila,0.13296798
adapta,adattare,0.008089006
adera,aderire,0.018395007
adjectiv,aggettivo,0.023191988
admira,ammirare,0.028730035
admite,ammettere,0.04308802
admisiune,ammissione,0.074351996
adopție,adozione,0.099004984
aduce,addurre,0.142284
adverbial,avverbiale,0.06994498
adversitate,avversità,0.026743025
afinitate,affinità,0.023954988
aforism,aforisma,0.089331985
afunda,affondare,0.16035303
agonie,agonia,0.009858012
agricol,agricola,0.056170046
avea,aglio,0.303455
albedo,albedo,0.005682051
aleatoriu,aleatorio,0.118802994
alegorie,allegoria,0.015963018
algă,alga,0.09727296
aloe,aloe,0.123793006
alpin,alpino,0.0004670024
altar,altare,0.037797987
altera,alterare,0.080063015
alteritate,alterità,0.013351977
amar,amarezza,0.03183803
ambiant,ambiente,0.022312999
ambiguu,ambiguo,0.03537202
amenința,minacciare,0.03015101
amfiteatru,anfiteatro,0.0012180209
amforă,anfora,0.029202998
amic,amico,0.038462996
amor,amore,0.16235799
amulet,amuleto,0.0056140423
amuletă,amuleto,0.039349973
an,anno,0.056683004
anaforă,anafora,0.06692499
analog,analogo,0.089549005
ancoră,ancora,0.340109
anghilă,anguilla,0.12639403
anima,animare,0.054093003
antecedent,antecedente,0.265631
anterior,anteriore,0.178518
antic,antico,0.006175995
anticar,antiquario,0.051211983
anticipație,anticipazione,0.06972098
antidot,antidoto,0.0042129755
antipatie,antipatia,0.045147955
antirabic,rabbia,0.28104404
apatie,apatia,0.05326101
apendice,appendice,0.15529501
aperitiv,aperitivo,0.12215701
apertură,apertura,0.17894301
aplauda,applaudire,0.06884503
aplică,applicare,0.058131993
apoplexie,apoplessia,0.016179979
apos,acquoso,0.06356901
apostat,apostata,0.0069600344
apostazie,apostasia,0.019508004
apostolic,apostolico,0.04009199
apostrof,apostrofo,0.04271102
apoteoză,apoteosi,0.0038890243
apoziție,apposizione,0.15551099
aprecia,apprezzare,0.05256796
aprinde,apprendere,0.338835
ara,arare,0.145814
aramă,rame,0.0013230145
arbitra,arbitrare,0.053936005
arbust,arbusto,0.0030110478
arctic,artico,0.048931003
ardere,ardere,0.31089997
ardoare,ardore,0.10580999
argument,argomento,0.10118097
arie,aja,0.33082
arici,riccio,0.13861799
arid,arido,0.031477988
armătură,armatura,0.13171399
armonic,armonico,0.047295988
aroganță,arroganza,0.018086016
articol,articolo,0.018886983
artificial,artificiale,0.015038967
artrită,artrite,0.062435985
as,asso,0.194292
așa,cosí,0.143329
ascendent,ascendente,0.03797698
ascultat,ascoltare,0.06794202
asesor,assessore,0.13558301
asfalt,asfalto,0.013128996
asiduitate,assiduità,0.043489993
asin,asina,0.300285
aspru,aspro,0.172984
astral,astrale,0.015008986
astronomă,astronomia,0.016626
atare,tale,0.09647399
atenuat,attenuare,0.030671
atracție,attrazione,0.013045967
atriu,atrio,0.04502201
atroce,atroce,0.065328985
atrofie,atrofia,0.06391102
auzi,udire,0.010058999
aură,aura,0.11306101
austral,australe,0.104160994
autoare,autore,0.198221
aventură,aventura,0.194399
avid,avido,0.019356012
axilă,ascella,0.095013976
axiomă,assioma,0.03076005
băiat,ital,0.596038
bale,balla,0.20167601
balnear,balneare,0.015599012
balsam,balsamo,0.068984
barbă,barba,0.10709298
barbar,barbaro,0.11883801
barbarie,barbarie,0.0018839836
bășică,vescica,0.07445899
bătaie,battaglia,0.102641016
bea,bere,0.016094983
belicos,bellicoso,0.038640022
beneficiar,beneficiario,0.0055540204
bine,bene,0.026930004
bitum,bitume,0.008035004
bituminos,bituminoso,0.034897983
bizon,bisonte,0.016791016
bou,bove,0.195491
borax,borace,0.008305967
boreal,boreale,0.066654
bovin,bovino,0.106334
brahial,brachiale,0.084613025
brut,bruto,0.395411
bucă,bocca,0.21539098
buf,buffo,0.171136
bun,buono,0.146783
busolă,bussola,0.13948101
bust,busto,0.03732395
cadrilater,quadrilatero,0.344858
cal,cavallo,0.0032809973
călca,calco,0.25977102
căldare,caldaia,0.07800698
calomnia,calunnia,0.10034299
calos,calloso,0.073118
camfor,canfora,0.17582998
cămilă,cammello,0.053677976
cantabile,muz,0.382715
cap,capo,0.159282
capă,cappa,0.124516994
capete,capitare,0.23949501
capilar,capillare,0.17138997
capital,capitale,0.13200101
capră,capra,0.10458198
capsulă,capsula,0.012749016
car,calare,0.266976
cărare,calare,0.20222399
carat,carato,0.01770699
cardinal,cardinale,0.026504964
carea,quale,0.052244008
caritate,carità,0.13368404
carnal,carnale,0.00045898557
carnivor,carnivoro,0.04281199
carpen,carpino,0.13059899
carte,carta,0.20683202
cast,casto,0.222594
castelan,castellano,0.03272897
castitate,castità,0.010627985
catastrofă,catastrofe,0.008422971
catenă,catena,0.18686
catolic,cattolico,0.048690975
cauză,causa,0.059202015
cauza,causare,0.20851901
cavernă,caverna,0.05338201
cavernos,cavernoso,0.02132696
cavitate,cavità,0.045408964
ceară,cera,0.060633034
celest,celeste,0.024905026
celibat,celibato,0.054262996
cenotaf,cenotafio,0.06086999
centaur,centaurus,0.03529197
centurion,centurione,0.09331
cere,cerro,0.638084
cerb,cervo,0.08874297
cereală,cereale,0.13773602
cerere,chiedere,0.12781098
cetate,città,0.22769901
cezură,cesura,0.04104796
chel,chiave,0.25258303
cicatrice,cicatrice,0.0010920167
cicerone,cicerone,0.12283802
ciclic,ciclico,0.0055630207
cincinal,quinquennale,0.18495399
cînd,cuando,0.323614
cine,cena,0.351981
cinic,cinico,0.019336045
circ,circo,0.007747978
circumstanță,circostanza,0.017450035
cireașă,ciliegia,0.10833499
citrin,citrino,0.043541014
clandestin,clandestino,0.037875056
claviculă,clavicola,0.07730299
clemență,clemenza,0.054719
clerical,clericale,0.019620001
client,cliente,0.0010539889
clientelă,clientela,0.026122034
clinic,clinica,0.06484705
cloacă,cloaca,0.017941982
coapsă,coscia,0.054014027
corn,corno,0.046372026
coasă,cucire,0.21221003
coastă,costa,0.15456703
cot,gomito,0.0061100125
coerență,coerenza,0.007377982
coif,cuffia,0.24830002
coleg,collega,0.234898
coloană,colonna,0.0013740063
colocviu,colloquio,0.17415297
colon,colon,0.037183017
