word1,word2,falseness
a,a,0.061443
abac,ábaco,0.080947995
abanos,ébano,0.084028006
abdica,abdicar,0.017506003
aberație,aberração,0.046680003
abnegație,abnegação,0.056083024
absorbi,absorver,0.018442035
academic,acadêmico,0.03810197
accelera,acelerar,0.010735989
acomoda,acomodar,0.06638703
acru,agro,0.41761404
acvariu,aquário,0.014036
acvatic,aquático,0.016195
acvilă,águia,0.045059025
adera,aderir,0.0088529885
adjectiv,adjetivo,0.075082004
adjutant,ajudante,0.0873
admisiune,admissão,0.003215015
adopție,adoção,0.097378016
adverbial,adverbial,0.025880992
aforism,aforismo,0.057579994
afunda,afundar,0.14588201
agil,ágil,0.020413995
agonie,agonia,0.016658962
agresor,agressor,0.029309988
avea,alho,0.2986
alegorie,alegoria,0.019825041
algă,alga,0.065899014
algebră,álgebra,0.027148008
aliment,alimento,0.008002043
aloe,aloés,0.07806003
altera,alterar,0.073626995
ambiguu,ambíguo,0.028793037
ambiție,ambição,0.007921994
amenința,ameaçar,0.06057298
amfiteatru,anfiteatro,0.0089790225
amforă,ânfora,0.023386002
amor,amor,0.080939025
amuletă,amuleto,0.014573991
an,anno,0.154237
anaforă,anáfora,0.072500974
analog,análogo,0.016046017
ancoră,âncora,0.12472099
anghilă,enguia,0.153507
anima,animar,0.188588
animozitate,animosidade,0.019591987
aniversar,aniversário,0.04724902
antecedent,antecedente,0.11497098
anterior,anterior,0.094998
antic,antigo,0.14421299
anticar,antiquário,0.07156503
anticipație,antecipação,0.12810302
antidot,antídoto,0.011608958
antipatie,antipatia,0.06060797
antirabic,raiva,0.332327
apeduct,aqueduto,0.044862986
apendice,apêndice,0.072362006
aperitiv,aperitivo,0.054406047
apertură,abertura,0.228782
apetit,apetite,0.007730961
aplauda,aplaudir,0.0015289783
aplică,aplicar,0.009085
apologetică,apologética,0.018523991
apostazie,apostasia,0.15396601
apostrof,apóstrofo,0.13656402
apoteoză,apoteose,0.019169033
apoziție,aposição,0.028816998
aprecia,apreciar,0.122125
aprinde,aprender,0.35085
ara,arar,0.188917
aramă,arame,0.16428599
arbitra,arbitrar,0.016591966
arbitrar,arbitrário,0.031882048
arbore,arvore,0.050724
arbure,arvore,0.17255801
arbust,arbusto,0.0013750196
ardere,arder,0.23811203
ardoare,ardor,0.152399
argilos,argiloso,0.00036400557
arie,aira,0.23969002
arici,ouriço,0.18886396
arid,árido,0.06516904
aritmetică,aritmética,0.013108015
armătură,armadura,0.19792497
aroganță,arrogância,0.024771988
artificial,artificial,0.04629296
artificiu,artifício,0.08385801
artrită,artrite,0.05234599
as,ás,0.18714899
așa,assim,0.08691901
ascultat,escutou,0.055392027
asesor,assessor,0.118072
asfalt,asfalto,0.017865002
asiduitate,assiduidade,0.037630975
asin,asna,0.28670898
aspru,áspero,0.031527013
astral,astral,0.066715
astronomă,astronomia,0.025305033
atare,tal,0.0127360225
atenuat,atenuar,0.08209002
atlet,atleta,0.02619499
atriu,átrio,0.08827999
atroce,atroz,0.10126898
atrofie,atrofia,0.0025680065
aură,aura,0.12855196
aurifer,aurífero,0.031592995
auster,austero,0.0016090274
austral,austral,0.11301601
autoare,autora,0.021315992
avid,ávido,0.09144899
axilă,axila,0.086927
axiomă,axioma,0.11787403
bale,baba,0.34237003
balnear,balneário,0.103201985
balsam,bálsamo,0.131753
barbarie,barbárie,0.053318024
bășică,bexiga,0.098095
bătaie,batalha,0.09931901
bea,bebedor,0.11516902
belicos,belicoso,0.061856
biceps,bíceps,0.09808898
bilingv,bilíngüe,0.10005599
bine,bem,0.009190023
bitum,betume,0.015664995
bituminos,betuminoso,0.010546029
bizon,bisão,0.016222
bou,boi,0.120208025
boteza,baptizar,0.138695
bovin,bovino,0.077959
brahial,braquial,0.059659004
braț,braço,0.030701995
brut,bruto,0.029755026
bucă,boca,0.21629898
buf,bufo,0.171662
bun,bom,0.20569003
busolă,bússola,0.07208502
bust,busto,0.009326994
cad,cair,0.07255101
cadrilater,quadrilátero,0.325767
cal,cavallo,0.21121103
călare,cavalleiro,0.21174997
călca,calcar,0.239433
calcula,calcular,0.020151973
cald,caldo,0.21506399
căldare,caldeira,0.15344301
calomnia,calúnia,0.02123797
calos,caloso,0.020568013
cămașă,camisa,0.111406
camfor,cânfora,0.046738982
cămilă,camelo,0.067687005
cangrenă,gangrena,0.009037018
cap,cabo,0.247199
capă,capa,0.256435
capete,cabo,0.24992399
capital,capital,0.15393099
capră,cabra,0.019717991
car,carro,0.01573202
cărare,carreira,0.323239
carat,quilate,0.06582698
carea,qual,0.048161983
carnal,carnal,0.029890984
carnivor,carnívoro,0.02098298
carpen,carpe,0.31441802
carte,carta,0.27743
cast,casto,0.25713003
castelan,castelão,0.14386201
castitate,castidade,0.0026249886
castor,castor,0.028340012
castra,castrar,0.109429
catenă,cadeia,0.135539
caustic,cáustico,0.023261964
cauză,causar,0.13015598
cauza,causar,0.13795003
cavernă,caverna,0.073633015
cavernos,cavernoso,0.005654037
ceară,cera,0.155676
celest,celestial,0.044667006
celibat,celibato,0.052973002
cenotaf,cenotáfio,0.014176011
centaur,centauro,0.064781964
centurion,centurião,0.044084013
cenușă,cinza,0.181245
cep,cepo,0.08360699
cere,ceo,0.49943897
cerb,cervo,0.09058201
cereală,cereal,0.10148001
cerere,querer,0.35007498
certifica,certificar,0.026986003
cetate,cidade,0.20553103
chel,chave,0.25096703
chema,chamar,0.140475
chirurgie,cirurgia,0.022156
cicatrice,cicatriz,0.012858033
cicerone,cicerone,0.08926001
ciclic,cíclico,0.015816987
cînd,cuando,0.286859
cine,cea,0.460587
cireașă,cereja,0.07699102
cireș,cereja,0.09069601
citrin,citrina,0.095361024
clandestin,clandestino,0.009236038
claviculă,clavícula,0.054022014
clement,clemente,0.01601401
clemență,clemência,0.009186983
clerical,clerical,0.009602964
clientelă,clientela,0.0074210167
cloacă,cloaca,0.062796
coacă,cozer,0.13699803
corn,corno,0.09834701
coasă,coser,0.344075
coastă,costa,0.16681796
cot,coto,0.208996
coc,cozer,0.10187599
coerență,coerência,0.052096963
coif,coifa,0.264313
colabora,colaborar,0.019939005
colectiv,coletivo,0.108235
colon,cólon,0.04595104
color,cor,0.23409799
colos,colosso,0.09266299
columnă,coluna,0.106314
comă,coma,0.13089702
comedie,comédia,0.013167024
cometă,cometa,0.0043309927
comite,cometer,0.02780199
compensa,compensar,0.0017279983
compensație,compensação,0.019174993
compila,compilar,0.000109016895
compot,compota,0.008489013
compozit,composto,0.24554202
comprima,comprimir,0.022707999
comunicație,comunicação,0.0058619976
con,cone,0.18108702
concede,conceder,0.10834801
concesie,concessão,0.01985097
conchide,concluir,0.09763098
concluzie,conclusão,0.059177995
concomitent,concomitante,0.104343
concordat,concordata,0.032460988
condamna,condenar,0.05358702
conductor,condutor,0.007674992
confesiune,confissão,0.05458504
configura,configurar,0.09332901
confisca,confiscar,0.02196902
conflagrație,conflagração,0.07549602
confunda,confundir,0.00702101
congestie,congestionamento,0.15036201
conjectură,conjetura,0.017772019
conjugal,conjugal,0.007257998
conjuncție,conjunção,0.03387299
consecință,conseqüência,0.060075045
consens,consenso,0.02866602
considera,considerar,0.04687798
considerație,consideração,0.024761975
consilier,conselheiro,0.06214398
consistoriu,consistório,0.0037500262
consolă,consolá,0.333294
consonant,consoante,0.18382996
consonanță,consonância,0.071973026
conspira,conspirar,0.007240951
constanță,constância,0.012001991
constelație,constelação,0.004734993
consult,consultar,0.046764016
contamina,contaminar,0.0042380095
contemplativ,contemplativo,0.010228038
conține,conter,0.09998304
contingență,contingência,0.08521402
contracție,contração,0.016444027
contrar,contrário,0.06446001
convalescență,convalescença,0.014012992
convecție,convecção,0.11971301
convent,convento,0.080669016
converge,convergir,0.062276006
convergent,convergente,0.004776001
conversiune,conversão,0.0067769885
convoi,comboio,0.031539977
coopera,cooperar,0.050354958
corabie,caravela,0.08170599
corb,corvo,0.17722201
corecție,correção,0.0016699731
coridor,corredor,0.053122997
cornut,cornudo,0.12811401
corolă,corola,0.006323993
corvetă,corveta,0.06250399
cosmic,cósmico,0.074411035
crap,carpa,0.13697699
crăpa,quebrar,0.259866
crasă,crasso,0.246234
creație,criação,0.14104202
crede,crer,0.151142
cremă,creme,0.08181399
crepuscul,crepúsculo,0.045756996
cristalin,cristalino,0.006027043
crocodil,crocodilo,0.010056019
cruce,cruz,0.016779006
crud,cru,0.20635203
cuaternar,quaternário,0.03797704
cuc,cuco,0.057639986
cui,cunho,0.28418303
culege,colher,0.053606004
culmina,culminar,0.0009459853
cum,como,0.14367402
cunoaște,conhecer,0.122209996
cupă,copa,0.0062939525
cure,correr,0.29905
curea,correia,0.295062
curios,curioso,0.01710999
cvasi,quase,0.082953006
dativ,dativo,0.050099015
daună,dano,0.08894801
de,de,0.021137
debil,débil,0.15848702
debitor,devedor,0.07374099
decadă,década,0.06713
decan,deão,0.12104198
decembrie,dezembro,0.02083397
decență,decência,0.07991904
decide,decidir,0.06895703
declamație,declamação,0.034603
declara,declarar,0.047895014
declinație,declinação,0.041897
dedicație,dedicação,0.059813023
deductiv,dedutivo,0.0061469674
deficient,deficiente,0.07720399
deflagrație,deflagração,0.048464954
deforma,deformar,0.032276988
deget,dedo,0.022607028
degrada,degradar,0.04560995
delega,delegar,0.042222023
delfin,golfinho,0.12407401
deliberativ,deliberativo,0.03713399
delicios,delicioso,0.024863958
delir,delírio,0.006128013
dement,demente,0.19385698
demență,demência,0.03274399
demola,demolir,0.038691998
denigra,denegrir,0.048907995
denota,denotar,0.00898695
dens,denso,0.09514797
densitate,densidade,0.011165023
dentiție,dentição,0.015635014
depozitar,depositário,0.156665
depresiune,depressão,0.08285898
depune,depôr,0.21318302
descinde,descer,0.34558702
descriptiv,descritivo,0.030170977
desface,desfazer,0.093825996
destructiv,destrutivo,0.053063035
destructor,destruidor,0.15958399
detritus,detrito,0.08507702
devasta,devastar,0.012419045
devora,devorar,0.013978004
devoțiune,devoção,0.0047320127
diacon,diácono,0.011578977
diademă,diadema,0.14585999
dialectică,dialética,0.004114032
diaree,diarréia,0.040696025
dicta,ditar,0.04671198
dictatură,ditadura,0.019497037
difuziune,difusão,0.0014640093
digestie,digestão,0.007665992
dijmă,décima,0.372534
dilemă,dilema,0.04286802
